unit_abilities_to_additional_ui_effects_juncs_tables	0
ability	effect
ovn_spell_desert_mirage	ovn_all_summon_arb_spearmen
ovn_spell_desert_mirage	wh2_dlc10_all_summon_no_damage
ovn_spell_desert_mirage_upgraded	ovn_all_summon_arb_spearmen
ovn_spell_desert_mirage_upgraded	wh2_dlc10_all_summon_no_damage
ovn_spell_desert_mirage_upgraded	wh_main_spell_upgraded_duration
ovn_spell_desert_sunstrike	wh_main_projectile_effective_long_range
ovn_spell_desert_sunstrike	wh_main_all_strong_against_single
ovn_spell_desert_sunstrike	wh_main_projectile_high_penetration
ovn_spell_desert_sunstrike_upgraded	wh_main_projectile_effective_long_range
ovn_spell_desert_sunstrike_upgraded	wh_main_all_strong_against_single
ovn_spell_desert_sunstrike_upgraded	wh_main_projectile_high_penetration
ovn_spell_desert_sunstrike_upgraded	wh_main_spell_upgraded_ap_damage_ranged
ovn_spell_desert_sandstorm	wh2_main_all_good_against_armour
ovn_spell_desert_sandstorm	wh2_main_all_magical_damage_moderate
ovn_spell_desert_sandstorm	wh2_main_spell_huge_vortex
ovn_spell_desert_sandstorm_upgraded	wh2_main_all_good_against_armour
ovn_spell_desert_sandstorm_upgraded	wh2_main_all_magical_damage_moderate
ovn_spell_desert_sandstorm_upgraded	wh2_main_spell_huge_vortex
ovn_spell_desert_sandstorm_upgraded	wh_main_spell_upgraded_duration
ovn_spell_desert_quicksand_upgraded	wh_main_spell_upgraded_area
ovn_spell_desert_burning_hands	wh2_main_all_magical_and_flaming_major
ovn_spell_desert_burning_hands	wh2_main_all_weak_against_armour
ovn_spell_desert_burning_hands	wh_main_all_can_disrupt_formation
ovn_spell_desert_burning_hands	wh_main_all_strong_against_units
ovn_spell_desert_burning_hands	wh_main_all_weak_against_single
ovn_spell_desert_burning_hands	wh_main_vortex_large_breath
ovn_spell_desert_burning_hands_upgraded	wh2_main_all_magical_and_flaming_major
ovn_spell_desert_burning_hands_upgraded	wh_main_all_can_disrupt_formation
ovn_spell_desert_burning_hands_upgraded	wh_main_all_strong_against_units
ovn_spell_desert_burning_hands_upgraded	wh_main_all_weak_against_single
ovn_spell_desert_burning_hands_upgraded	wh_main_vortex_large_breath
ovn_spell_desert_burning_hands_upgraded	wh_main_spell_upgraded_ap_damage_ranged
ovn_spell_desert_curse_of_the_djinn_upgraded	ovn_spell_upgraded_added_resistance_magic
ovn_spell_desert_curse_of_the_djinn_upgraded	wh_main_spell_upgraded_area
