mercenary_pool_to_groups_junctions_tables	1
group	initial_unit_count	key	pool	faction_requirement	subculture_requirement	tech_requirement
wh_dlc08_nor_art_hellcannon_battery	1	1051646759	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_albion	
wh_pro04_nor_mon_war_mammoth_ror_0	1	1064929778	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_albion	
wh_dlc08_nor_mon_frost_wyrm_ror_0	1	1133675520	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_albion	
wh_pro04_nor_inf_chaos_marauders_ror_0	1	1249642224	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_albion	
wh_pro04_nor_mon_fimir_ror_0	1	1521988730	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_albion	
wh_pro04_nor_mon_warwolves_ror_0	1	1590749554	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_albion	
wh_pro04_nor_inf_marauder_berserkers_ror_0	1	2101125634	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_albion	
wh_dlc08_nor_mon_war_mammoth_boss	1	298314755	wh_dlc08_monster_hunt_of_renown_pool		wh_main_sc_nor_albion	
wh_pro04_nor_mon_skinwolves_ror_0	1	575857935	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_albion	
wh_dlc08_nor_mon_frost_wyrm_boss	1	603050433	wh_dlc08_monster_hunt_of_renown_pool		wh_main_sc_nor_albion	
wh_dlc08_nor_mon_war_mammoth_ror_1	1	701378310	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_albion	
