land_units_tables	44
accuracy	armour	campaign_action_points	category	charge_bonus	class	dismounted_charge_bonus	dismounted_melee_attack	historical_description_text	key	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	animal	num_animals	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	strengths_&_weaknesses_text	supports_first_person	training_level	officers	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	ability_global_recharge	attribute_group	spot_dist_tree	spot_dist_scrub	reload	loose_spacing	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	capture_power	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	mounted_draughts	sync_locomotion	can_brace
10	wh2_main_bone_30	2100	inf_melee	30	inf_mel	50	80	wh_main_unit_long_text_chs_chaos_knights	ovn_dkl_mon_skeleton_giant	hu4_giant_club	elo_skeletal_giant	50	26	60	8900			0	0	skeletal_giant_bone		1	none	ovn_unit_short_text_dkl_skeleton_giant	wh_main_monster	placeholder	false	trained	ovn_dkl_mon_skeleton_giant			true	40.0	1500.0	0.0	wh_fear_terror_undead	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0	10.0	large	0	0	0	0	0	0	25	0	melee_gatecrusher	false	false	false	true
10	wh2_main_bone_30	2100	inf_melee	30	inf_mel	50	80	wh_main_unit_long_text_chs_chaos_knights	ovn_vmp_mon_skeleton_giant	hu4_giant_club	elo_skeletal_giant	50	26	60	8900			0	0	skeletal_giant_bone		1	none	ovn_unit_short_text_dkl_skeleton_giant	wh_main_monster	placeholder	false	trained	ovn_vmp_mon_skeleton_giant			true	40.0	1500.0	0.0	wh_fear_terror_undead	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0	10.0	large	0	0	0	0	0	0	25	0	melee_gatecrusher	false	false	false	true
10	wh2_main_plate_90	2100	inf_melee	28	com	20	33	wh_dlc04_unit_long_text_vmp_vlad_von_carstein	Dread_King	hu1_vlad_sword	wh_pro03_vmp_inf_krell	70	50	85	5738			0	0	wh_main_vmp_sword_hero_lord		1	none	Dread_King	wh_main_infantry	placeholder	false	trained	Dread_King			true	40.0	1500.0	0.0	wh_encourage_fear_hideForest_undead	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_default	1.0	10.0	small	0	0	0	0	0	0	15	0	mage	false	false	false	true
10	wh2_main_body_80	2100	war_beast	40	com	20	33	wh_main_unit_long_text_vmp_manfred_von_carstein	Dread_King_2	hu1_vampire_counts_dr1_zombie_dragon_wb_sword_and_shield	wh_main_infantry_standard	50	50	80	7428	wh_main_vmp_mnt_dragon_zombie		0	1	wh_main_vmp_hero_zombie_dragon		1	none	Dread_King	wh_main_monster	placeholder	false	trained	Dread_King_2			true	40.0	1500.0	0.0	wh_encourage_fear_terror_undead	60	80	0	false	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0	0.0	large	0	0	0	0	0	0	25	0	melee_cav_shock_highvalue	false	false	false	false
10	wh2_main_plate_90	2100	cavalry	80	cav_shk	20	33	wh_main_unit_long_text_brt_grail_knights	black_grail_knights_tmb	hu1_black_knights_hr1_skeletal_steed_lance_sword_shield	wh_main_cavalry_rider_standard_blood	42	31	81	575	wh_main_vmp_mnt_barded_nightmare_hero		0	12	dk_lance_black_grail_knight		5	wh_missile_block_30_wood	elo_undead_grail_knights	wh_main_cavalry_ordered	placeholder	false	trained	black_grail_knights_tmb			true	40.0	1500.0	0.0	undead_grail_knights	60	80	0	false	vo_sel_bretonnian_grail_knights	vo_sel_cavalry	vo_sel_culture	1.0	8.0	large	0	0	-15	-15	0	30	0	0	melee_flanker_shock	false	false	false	false
10	wh2_main_leather_15	2100	inf_melee	15	com	20	33	wh_main_unit_long_text_vmp_necromancer	elo_dread_larenscheld	hu1_empire_staff_and_sword	wh_main_infantry_standard_hero_blood_dismembers	30	38	65	4000			0	0	larenscheld_sword_staff		1	none	elo_dread_larenscheld	wh_main_infantry	placeholder	false	trained	elo_dread_larenscheld			true	40.0	1500.0	0.0	wh_encourage_fear_hideForest_undead	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0	10.0	small	0	0	0	0	0	0	15	0	mage_highvalue	false	false	false	true
10	wh_main_body_0	2100	inf_melee	20	com	20	33	wh_main_unit_long_text_vmp_banshee	elo_dread_larenscheld_wright	gh1_cairn_wraith	wh_main_vmp_inf_banshee	30	25	40	2000			0	0	larenscheld_wright_scythe		1	none	elo_dread_larenscheld	wh_main_infantry	placeholder	false	trained	elo_dread_larenscheld_wright			true	40.0	1500.0	0.0	wh2_dlc14_encourage_fear_terror_hideforest_strider_undead	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0	10.0	ethereal	0	0	0	0	0	75	0	0	melee_highvalue	false	false	false	true
10	wh_main_body_0	2100	inf_melee	25	com	20	33	wh_main_unit_long_text_vmp_banshee	elo_dread_larenscheld_wright_perfect	hu1_empire_staff_and_sword	wh_main_vmp_inf_banshee	38	30	40	2000			0	0	larenscheld_wright_scythe		1	none	elo_dread_larenscheld	wh_main_infantry	placeholder	false	trained	elo_dread_larenscheld_wright_perfect			true	40.0	1500.0	0.0	wh2_dlc14_encourage_fear_terror_hideforest_strider_undead	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0	10.0	ethereal	0	0	0	0	0	75	0	0	melee_highvalue	false	false	false	true
10	wh2_main_plate_100	2100	inf_melee	15	com	20	33	wh_main_unit_long_text_vmp_master_necromancer	elo_liche_general	hu1_arkhan_staff_and_sword	wh2_dlc09_tmb_skeleton_infantry_hero	40	48	75	4000			0	0	liche_sword_staff		1	none	elo_liche_general	wh_main_infantry	placeholder	false	trained	elo_liche_general			true	40.0	1500.0	0.0	wh_encourage_fear_hideForest_undead	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0	10.0	small	0	0	0	0	0	0	15	0	mage_highvalue	false	false	false	true
10	wh2_main_plate_120	2100	cavalry	30	com	20	33	wh_main_unit_long_text_vmp_master_necromancer	elo_liche_general_barded_steed	hu1_tomb_hr1_tomb_steed_staff_and_sword	wh2_dlc09_tmb_skeleton_infantry_hero	40	48	75	4570	dread_legion_barded_skeletal_steed		0	1	liche_sword_staff		1	none	elo_liche_general	wh_main_cavalry_chaotic	placeholder	false	trained	elo_liche_general_barded_steed			true	40.0	1500.0	0.0	wh_encourage_fear_hideForest_undead	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0	10.0	large	0	0	0	0	0	0	15	0	mage_flanker_highvalue	false	false	false	false
