character_skill_nodes_skill_locks_tables	0
character_skill	character_skill_node	level
elo_skill_troll_food_rats	elo_skill_troll_food_dwarfs	1
elo_skill_troll_food_rats	elo_skill_troll_food_humans	1
elo_skill_troll_food_rats	elo_skill_troll_food_elves	1
elo_skill_troll_food_rats	elo_skill_troll_food_green	1
elo_skill_troll_food_rats	elo_skill_troll_food_lizard	1
elo_skill_troll_food_rats	elo_skill_troll_food_undead	1
elo_skill_troll_food_rats	elo_skill_troll_food_chaos	1
elo_skill_troll_food_rats	elo_skill_troll_food_beast	1
elo_skill_troll_food_dwarfs	elo_skill_troll_food_rats	1
elo_skill_troll_food_dwarfs	elo_skill_troll_food_humans	1
elo_skill_troll_food_dwarfs	elo_skill_troll_food_elves	1
elo_skill_troll_food_dwarfs	elo_skill_troll_food_green	1
elo_skill_troll_food_dwarfs	elo_skill_troll_food_lizard	1
elo_skill_troll_food_dwarfs	elo_skill_troll_food_undead	1
elo_skill_troll_food_dwarfs	elo_skill_troll_food_chaos	1
elo_skill_troll_food_dwarfs	elo_skill_troll_food_beast	1
elo_skill_troll_food_humans	elo_skill_troll_food_rats	1
elo_skill_troll_food_humans	elo_skill_troll_food_dwarfs	1
elo_skill_troll_food_humans	elo_skill_troll_food_elves	1
elo_skill_troll_food_humans	elo_skill_troll_food_green	1
elo_skill_troll_food_humans	elo_skill_troll_food_lizard	1
elo_skill_troll_food_humans	elo_skill_troll_food_undead	1
elo_skill_troll_food_humans	elo_skill_troll_food_chaos	1
elo_skill_troll_food_humans	elo_skill_troll_food_beast	1
elo_skill_troll_food_elves	elo_skill_troll_food_rats	1
elo_skill_troll_food_elves	elo_skill_troll_food_dwarfs	1
elo_skill_troll_food_elves	elo_skill_troll_food_humans	1
elo_skill_troll_food_elves	elo_skill_troll_food_green	1
elo_skill_troll_food_elves	elo_skill_troll_food_lizard	1
elo_skill_troll_food_elves	elo_skill_troll_food_undead	1
elo_skill_troll_food_elves	elo_skill_troll_food_chaos	1
elo_skill_troll_food_elves	elo_skill_troll_food_beast	1
elo_skill_troll_food_green	elo_skill_troll_food_rats	1
elo_skill_troll_food_green	elo_skill_troll_food_dwarfs	1
elo_skill_troll_food_green	elo_skill_troll_food_humans	1
elo_skill_troll_food_green	elo_skill_troll_food_elves	1
elo_skill_troll_food_green	elo_skill_troll_food_lizard	1
elo_skill_troll_food_green	elo_skill_troll_food_undead	1
elo_skill_troll_food_green	elo_skill_troll_food_chaos	1
elo_skill_troll_food_green	elo_skill_troll_food_beast	1
elo_skill_troll_food_lizard	elo_skill_troll_food_rats	1
elo_skill_troll_food_lizard	elo_skill_troll_food_dwarfs	1
elo_skill_troll_food_lizard	elo_skill_troll_food_humans	1
elo_skill_troll_food_lizard	elo_skill_troll_food_elves	1
elo_skill_troll_food_lizard	elo_skill_troll_food_green	1
elo_skill_troll_food_lizard	elo_skill_troll_food_undead	1
elo_skill_troll_food_lizard	elo_skill_troll_food_chaos	1
elo_skill_troll_food_lizard	elo_skill_troll_food_beast	1
elo_skill_troll_riverblood	elo_skill_troll_frostblood	1
elo_skill_troll_riverblood	elo_skill_troll_stoneblood	1
elo_skill_troll_stoneblood	elo_skill_troll_riverblood	1
elo_skill_troll_stoneblood	elo_skill_troll_frostblood	1
elo_skill_troll_frostblood	elo_skill_troll_riverblood	1
elo_skill_troll_frostblood	elo_skill_troll_stoneblood	1
elo_skill_troll_food_undead	elo_skill_troll_food_rats	1
elo_skill_troll_food_undead	elo_skill_troll_food_dwarfs	1
elo_skill_troll_food_undead	elo_skill_troll_food_humans	1
elo_skill_troll_food_undead	elo_skill_troll_food_elves	1
elo_skill_troll_food_undead	elo_skill_troll_food_lizard	1
elo_skill_troll_food_undead	elo_skill_troll_food_green	1
elo_skill_troll_food_undead	elo_skill_troll_food_chaos	1
elo_skill_troll_food_undead	elo_skill_troll_food_beast	1
elo_skill_troll_food_beast	elo_skill_troll_food_rats	1
elo_skill_troll_food_beast	elo_skill_troll_food_dwarfs	1
elo_skill_troll_food_beast	elo_skill_troll_food_humans	1
elo_skill_troll_food_beast	elo_skill_troll_food_elves	1
elo_skill_troll_food_beast	elo_skill_troll_food_green	1
elo_skill_troll_food_beast	elo_skill_troll_food_undead	1
elo_skill_troll_food_beast	elo_skill_troll_food_chaos	1
elo_skill_troll_food_beast	elo_skill_troll_food_lizard	1
