member	faction
#campaign_group_member_criteria_originating_factions_tables;0;db/campaign_group_member_criteria_originating_factions_tables/pj_slaves_post_battle	
pj_captive_option_flaming_scimitar_enslave_bretonnia	wh2_main_arb_flaming_scimitar
pj_captive_option_flaming_scimitar_enslave_rogue	wh2_main_arb_flaming_scimitar
pj_captive_option_flaming_scimitar_enslave_dark_elves	wh2_main_arb_flaming_scimitar
pj_captive_option_flaming_scimitar_enslave_empire	wh2_main_arb_flaming_scimitar
pj_captive_option_flaming_scimitar_enslave_high_elves	wh2_main_arb_flaming_scimitar
pj_captive_option_flaming_scimitar_enslave_wood_elves	wh2_main_arb_flaming_scimitar
pj_captive_option_flaming_scimitar_enslave_chaos	wh2_main_arb_flaming_scimitar
pj_captive_option_scythans_enslave_bretonnia	wh2_main_arb_aswad_scythans
pj_captive_option_scythans_enslave_rogue	wh2_main_arb_aswad_scythans
pj_captive_option_scythans_enslave_dark_elves	wh2_main_arb_aswad_scythans
pj_captive_option_scythans_enslave_empire	wh2_main_arb_aswad_scythans
pj_captive_option_scythans_enslave_high_elves	wh2_main_arb_aswad_scythans
pj_captive_option_scythans_enslave_wood_elves	wh2_main_arb_aswad_scythans
pj_captive_option_scythans_enslave_chaos	wh2_main_arb_aswad_scythans
pj_captive_option_caliphate_enslave_bretonnia	wh2_main_arb_caliphate_of_araby
pj_captive_option_caliphate_enslave_rogue	wh2_main_arb_caliphate_of_araby
pj_captive_option_caliphate_enslave_dark_elves	wh2_main_arb_caliphate_of_araby
pj_captive_option_caliphate_enslave_empire	wh2_main_arb_caliphate_of_araby
pj_captive_option_caliphate_enslave_high_elves	wh2_main_arb_caliphate_of_araby
pj_captive_option_caliphate_enslave_wood_elves	wh2_main_arb_caliphate_of_araby
pj_captive_option_caliphate_enslave_chaos	wh2_main_arb_caliphate_of_araby
