faction_agent_permitted_subtypes_tables	0
agent	faction	subtype
champion	wh2_main_nor_servants_of_fimulneid	default
colonel	wh2_main_nor_servants_of_fimulneid	aky_chief_fimir_great_weapons
dignitary	wh2_main_nor_servants_of_fimulneid	wh_dlc08_nor_fimir_balefiend_fire
dignitary	wh2_main_nor_servants_of_fimulneid	wh_dlc08_nor_fimir_balefiend_shadow
engineer	wh2_main_nor_servants_of_fimulneid	default
general	wh2_main_nor_servants_of_fimulneid	aky_chief_fimir_great_weapons
minister	wh2_main_nor_servants_of_fimulneid	default
spy	wh2_main_nor_servants_of_fimulneid	default
runesmith	wh2_main_nor_servants_of_fimulneid	wh2_dlc15_grn_river_troll_hag
wizard	wh2_main_nor_servants_of_fimulneid	grn_night_goblin_shaman
