child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	link_type
#character_skill_node_links_tables;3;db/character_skill_node_links_tables/belakor							
wh_dlc08_skill_chs_lord_unique_belakor_1	wh_dlc08_skill_chs_lord_unique_belakor_0	0	1	1	0.0	0.0	REQUIRED
wh_dlc08_skill_chs_lord_unique_belakor_2	wh_dlc08_skill_chs_lord_unique_belakor_1	0	1	1	0.0	0.0	REQUIRED
wh_dlc08_skill_chs_lord_unique_belakor_3	wh_dlc08_skill_chs_lord_unique_belakor_2	0	1	1	0.0	0.0	REQUIRED
wh_dlc08_skill_chs_lord_unique_belakor_4	wh_dlc08_skill_chs_lord_unique_belakor_3	0	1	1	0.0	0.0	REQUIRED
wh_dlc08_skill_chs_lord_unique_belakor_5	wh_dlc08_skill_chs_lord_unique_belakor_4	0	1	1	0.0	0.0	REQUIRED
wh_dlc08_skill_chs_lord_unique_belakor_6	wh_dlc08_skill_chs_lord_unique_belakor_5	0	1	1	0.0	0.0	REQUIRED
wh_main_skill_node_chs_belakor_battle_02	wh_main_skill_node_chs_belakor_battle_01	0	1	1	0.0	0.0	REQUIRED
wh_main_skill_node_chs_belakor_battle_03	wh_main_skill_node_chs_belakor_battle_01	0	1	1	0.0	0.0	REQUIRED
wh_main_skill_node_chs_belakor_battle_04	wh_main_skill_node_chs_belakor_battle_01	0	1	1	0.0	0.0	REQUIRED
wh_main_skill_node_chs_belakor_battle_05	wh_main_skill_node_chs_belakor_battle_01	0	1	1	0.0	0.0	REQUIRED
wh_main_skill_node_chs_belakor_battle_06	wh_main_skill_node_chs_belakor_battle_01	0	1	1	0.0	0.0	REQUIRED
wh_main_skill_node_chs_belakor_battle_07	wh_main_skill_node_chs_belakor_battle_01	0	1	1	0.0	0.0	REQUIRED
wh_main_skill_node_chs_belakor_battle_07_2	wh_main_skill_node_chs_belakor_battle_01	0	1	1	0.0	0.0	REQUIRED
wh_main_skill_node_chs_belakor_battle_08	wh_main_skill_node_chs_belakor_battle_02	0	1	1	0.0	0.0	SUBSET_REQUIRED
wh_main_skill_node_chs_belakor_battle_08	wh_main_skill_node_chs_belakor_battle_03	0	1	1	0.0	0.0	SUBSET_REQUIRED
wh_main_skill_node_chs_belakor_battle_08	wh_main_skill_node_chs_belakor_battle_04	0	1	1	0.0	0.0	SUBSET_REQUIRED
wh_main_skill_node_chs_belakor_battle_08	wh_main_skill_node_chs_belakor_battle_05	0	1	1	0.0	0.0	SUBSET_REQUIRED
