id	dilemma_key	option_key	value
#cdir_events_dilemma_option_junctions_tables;2;db/cdir_events_dilemma_option_junctions_tables/ovn_dilemmas			
941701014	ovn_dilemma_grudge_occupy	VAR_CHANCE	100
941701015	ovn_dilemma_grudge_occupy	GEN_TARGET_NONE	
941701016	ovn_dilemma_sabaar_occupy	VAR_CHANCE	100
941701017	ovn_dilemma_sabaar_occupy	GEN_TARGET_NONE	
941701018	ovn_dilemma_zandri_occupy	VAR_CHANCE	100
941701019	ovn_dilemma_zandri_occupy	GEN_TARGET_NONE	
941701020	ovn_chaos_gipfel	GEN_TARGET_NONE	
941701021	ovn_chaos_gipfel	VAR_CHANCE	16
941701022	ovn_chaos_gipfel	CND_FIRST_ROUND	7
941701023	ovn_chaos_gipfel	CND_FACTION	wh2_main_emp_the_moot
941701024	ovn_chaos_gipfel	CND_ROUNDS_UNTIL_NEXT	25
941701025	ovn_dilemma_rotblood_skit	VAR_CHANCE	100
941701026	ovn_dilemma_rotblood_skit	GEN_TARGET_NONE	
941701027	ovn_dilemma_arb_excavation	VAR_CHANCE	100
941701028	ovn_dilemma_arb_excavation	GEN_TARGET_NONE	
941701029	ovn_dilemma_alb_alt_leader	VAR_CHANCE	100
941701030	ovn_dilemma_alb_alt_leader	GEN_TARGET_NONE	
941701031	ovn_dilemma_moot_confed	VAR_CHANCE	100
941701032	ovn_dilemma_moot_confed	GEN_TARGET_NONE	
941701033	ovn_dilemma_grudge_hire	VAR_CHANCE	100
941701034	ovn_dilemma_grudge_hire	GEN_TARGET_NONE	
941701035	ovn_dilemma_grudge_hire_vortex	VAR_CHANCE	100
941701036	ovn_dilemma_grudge_hire_vortex	GEN_TARGET_NONE	
