land_units_to_unit_abilites_junctions_tables	0
ability	land_unit
wh_dlc08_unit_passive_from_the_mist	ovn_shearl
wh_dlc08_unit_passive_from_the_mist	ovn_boglar
wh_dlc08_unit_passive_from_the_mist	ovn_zoat
wh_dlc08_unit_passive_from_the_mist	ovn_fimm
wh_dlc08_unit_passive_from_the_mist	ovn_fim_mon_caster_0
wh_pro04_unit_passive_guardian	ovn_fimm
wh_main_unit_passive_frenzy	ovn_death_quest
wh_dlc08_unit_passive_from_the_mist	ovn_death_quest
wh_dlc08_unit_passive_from_the_mist	ovn_fianna_fimm
wh_dlc08_unit_passive_from_the_mist	ovn_mistmor
wh_dlc08_unit_passive_from_the_mist	ovn_gharnus_demon
wh_main_unit_passive_frenzy	ovn_killing_eye
wh_dlc08_unit_passive_from_the_mist	ovn_killing_eye
wh_dlc08_unit_passive_from_the_mist	ovn_fim_cav_bog_beast_riders_0
wh_dlc08_unit_passive_from_the_mist	ovn_marsh_hounds
