campaign_key	faction_key	level	skill_key	subculture_key	image_path	unlocked_at_rank
#character_skill_level_details_tables;0;db/character_skill_level_details_tables/belakor						
		1	the_blade_of_shadows		x	10
		1	wh_dlc08_skill_chs_lord_unique_belakor_0		x	0
		1	wh_dlc08_skill_chs_lord_unique_belakor_1		x	3
		1	wh_dlc08_skill_chs_lord_unique_belakor_2		x	6
		1	wh_dlc08_skill_chs_lord_unique_belakor_3		x	9
		1	wh_dlc08_skill_chs_lord_unique_belakor_4		x	12
		1	wh_dlc08_skill_chs_lord_unique_belakor_5		x	15
		1	wh_dlc08_skill_chs_lord_unique_belakor_6		x	16
		1	eons_of_spite		x	4
		1	the_first_deamon_prince		x	7
		1	primordial_everchosen		x	10
		1	timeless_rage		x	14
		1	chaos_incarnate		x	18
