special_ability_phase_stat_effects_tables	3
phase	value	stat	how
war_fury	6.0	stat_melee_attack	add
war_fury	1.1	stat_melee_damage_base	mult
war_fury_2	-8.0	stat_morale	add
war_fury	1.08	stat_charge_bonus	mult
woad_paint	15.0	stat_resistance_physical	add
druid_bound_awakening_of_the_wood	0.52	scalar_speed	mult
devestating_charge	1.5	stat_charge_bonus	mult
devestating_charge	1.25	scalar_charge_speed	mult
wh2_main_lore_passive_truthsayer	20.0	stat_resistance_missile	add
spell_truth_valor_upgraded	1.25	stat_melee_damage_base	mult
spell_truth_valor_upgraded	26.0	stat_melee_attack	add
spell_truth_valor	26.0	stat_melee_attack	add
spell_truth_valor	1.25	stat_melee_damage_base	mult
spell_truth_protection	45.0	stat_resistance_magic	add
spell_truth_protection	45.0	stat_resistance_flame	add
spell_truth_protection_upgraded	45.0	stat_resistance_magic	add
spell_truth_protection_upgraded	45.0	stat_resistance_flame	add
spell_truth_voice_command	0.45	scalar_speed	mult
spell_truth_voice_command	0.0	scalar_missile_range	mult
spell_truth_voice_command_upgraded	0.45	scalar_speed	mult
spell_truth_voice_command_upgraded	0.0	scalar_missile_range	mult
magic_siphon	15.0	stat_morale	add
embodiment_albion	0.7	scalar_speed	mult
albion_warcry	14.0	stat_melee_defence	add
albion_warcry	16.0	stat_morale	add
albion_warcry	14.0	stat_melee_attack	add
omen_of_doom	-6.0	stat_morale	add
omen_of_war	6.0	stat_melee_attack	add
murder_crows	-5.0	stat_melee_attack	add
omen_of_war	6.0	stat_morale	add
omen_of_doom	-6.0	stat_melee_defence	add
spell_truth_boon_courage	30.0	stat_armour	add
spell_truth_boon_courage_upgraded	30.0	stat_armour	add
howling_shields	-8.0	stat_morale	add
darkened_skies	0.8	scalar_speed	mult
darkened_skies	0.8	scalar_missile_range	mult
murder_crows_upgraded	-10.0	stat_melee_attack	add
morrigan_hunters_dmg	2.0	scalar_missile_damage_ap	mult
lesser_shield_of_the_old_ones	6.0	stat_morale	add
lesser_shield_of_the_old_ones	15.0	stat_resistance_all	add
elo_champion_of_albion	4.0	stat_morale	add
elo_albion_bologs	20.0	stat_melee_attack	add
elo_albion_bologs	20.0	stat_melee_defence	add
elo_albion_bologs	1.25	scalar_speed	mult
elo_albion_bologs	1.25	stat_melee_damage_base	mult
elo_albion_bologs	1.25	stat_melee_damage_ap	mult
elo_albion_bologs	1.25	scalar_splash_attack_power	mult
elo_albion_bologs	20.0	stat_charge_bonus	add
elo_albion_something_prove	8.0	stat_melee_damage_ap	add
elo_albion_something_prove	4.0	stat_morale	add
