member	faction
#campaign_group_member_criteria_factions_tables;0;db/campaign_group_member_criteria_factions_tables/ovn_ex_norsca_climate	
ovn_ex_norsca_troll_climate_chaotic	wh2_main_nor_trollz
ovn_ex_norsca_troll_climate_desert	wh2_main_nor_trollz
ovn_ex_norsca_troll_climate_frozen	wh2_main_nor_trollz
ovn_ex_norsca_troll_climate_island	wh2_main_nor_trollz
ovn_ex_norsca_troll_climate_jungle	wh2_main_nor_trollz
ovn_ex_norsca_troll_climate_magicforest	wh2_main_nor_trollz
ovn_ex_norsca_troll_climate_mountain	wh2_main_nor_trollz
ovn_ex_norsca_troll_climate_ocean	wh2_main_nor_trollz
ovn_ex_norsca_troll_climate_savannah	wh2_main_nor_trollz
ovn_ex_norsca_troll_climate_temperate	wh2_main_nor_trollz
ovn_ex_norsca_troll_climate_wasteland	wh2_main_nor_trollz
