key	campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
#character_skill_nodes_tables;5;db/character_skill_nodes_tables/elo_troll_new										
elo_skill_conduit		elo_skill_conduit	elo_troll_lord		3.0	0.0		0	0	true
elo_skill_fedbywar		elo_skill_troll_children_chaos	elo_troll_lord		3.0	1.0		0	0	true
elo_throgg_inhumane		elo_skill_troll_unnatural_resilience	elo_troll_lord		3.0	2.0		0	0	true
elo_skill_bitten		elo_skill_troll_menace_land	elo_troll_lord		3.0	3.0		0	0	true
elo_skill_ice_snow		elo_skill_troll_ice_snow	elo_troll_lord		3.0	4.0		0	0	true
elo_skill_toostupid		elo_skill_toostupid	elo_troll_lord		3.0	5.0		0	0	true
elo_skill_run_and_shakeoff		elo_skill_run_and_shakeoff	elo_troll_lord		3.0	6.0		0	6	true
elo_skill_troll_campaign_01		wh_main_skill_all_lord_campaign_route_marcher	elo_troll_lord		5.0	0.0		0	0	true
elo_skill_troll_campaign_02		wh_dlc08_skill_nor_lord_campaign_despoilers	elo_troll_lord		5.0	1.0		0	0	true
elo_skill_troll_campaign_03		wh_main_skill_chs_lord_campaign_serve_or_die	elo_troll_lord		5.0	2.0		0	0	true
elo_skill_troll_campaign_04		wh_dlc08_skill_nor_lords_campaign_norse_resilience	elo_troll_lord		5.0	3.0		0	0	true
elo_skill_troll_campaign_05		wh_dlc08_skill_nor_lords_campaign_swelling_of_doom	elo_troll_lord		5.0	4.0		0	4	true
elo_skill_troll_campaign_06		wh_main_skill_chs_lord_campaign_corruption	elo_troll_lord		5.0	5.0		0	4	true
elo_skill_troll_campaign_07		wh_main_skill_chs_lord_campaign_ruination	elo_troll_lord		5.0	6.0		0	0	true
elo_skill_troll_campaign_08		wh_dlc08_skill_nor_lords_campaign_savage_skills	elo_troll_lord		5.0	7.0		0	0	true
elo_skill_troll_campaign_09		wh_dlc08_skill_nor_lords_campaign_unnatural_healing	elo_troll_lord		5.0	8.0		0	0	true
elo_skill_troll_campaign_10		wh_dlc08_skill_nor_lords_campaign_fuelled_by_war	elo_troll_lord		5.0	9.0		0	0	true
elo_skill_troll_campaign_11		wh_dlc08_skill_nor_lords_campaign_spawn_of_chaos	elo_troll_lord		5.0	10.0		0	4	true
elo_skill_troll_self_01		wh_dlc08_skill_nor_throgg_self_copious_vomit	elo_troll_lord		1.0	0.0		1	0	true
elo_skill_troll_self_02		wh2_dlc11_skill_all_lord_self_devastating_charge	elo_troll_lord		1.0	1.0		0	0	true
elo_skill_troll_self_03		wh2_dlc11_skill_all_lord_self_thick-skinned	elo_troll_lord		1.0	2.0		0	0	true
elo_skill_troll_self_04		wh2_dlc11_skill_all_lord_self_hard_to_hit	elo_troll_lord		1.0	3.0		0	0	true
elo_skill_troll_self_05		wh2_dlc11_skill_all_lord_self_deadly_blade	elo_troll_lord		1.0	4.0		0	0	true
elo_skill_troll_self_06		wh_main_skill_all_all_self_foe-seeker	elo_troll_lord		1.0	5.0		0	4	true
elo_skill_troll_self_07		wh2_dlc11_skill_all_lord_self_wound-maker	elo_troll_lord		1.0	6.0		0	0	true
elo_skill_troll_self_08		wh2_dlc11_skill_all_lord_self_scarred_veteran	elo_troll_lord		1.0	7.0		0	0	true
elo_skill_troll_self_09		elo_skill_troll_controlled	elo_troll_lord		1.0	8.0		0	0	true
elo_skill_troll_self_10		wh2_dlc11_skill_nor_lords_self_quicksilver	elo_troll_lord		1.0	9.0		0	0	true
elo_skill_troll_self_11		wh_main_skill_all_all_self_deadly_onslaught	elo_troll_lord		1.0	10.0		0	4	true
elo_skill_troll_unique_02		wh_dlc08_skill_nor_lords_unique_eye_of_the_gods	elo_troll_lord		0.0	1.0		0	0	true
elo_skill_troll_unique_03		wh_dlc08_skill_nor_lords_unique_aura_of_chaos	elo_troll_lord		0.0	2.0		0	0	true
elo_skill_troll_unique_04		reworked_mutant_regeneration	elo_troll_lord		0.0	3.0		0	0	true
elo_skill_troll_innate01		elo_skill_troll_innate01	elo_troll_lord		6.0	0.0		0	0	false
elo_skill_troll_innate02		elo_skill_troll_innate02	elo_troll_lord		6.0	1.0		0	0	false
elo_skill_troll_innate03		elo_skill_troll_innate03	elo_troll_lord		6.0	2.0		0	0	false
elo_skill_troll_innate04		elo_skill_troll_innate04	elo_troll_lord		6.0	3.0		0	0	false
elo_skill_troll_innate05		elo_skill_troll_innate05	elo_troll_lord		6.0	4.0		0	0	false
elo_skill_troll_innate06		elo_skill_troll_innate06	elo_troll_lord		6.0	5.0		0	0	false
elo_skill_troll_innate07		elo_skill_troll_innate07	elo_troll_lord		6.0	6.0		0	0	false
elo_skill_troll_innate08		elo_skill_troll_innate08	elo_troll_lord		6.0	7.0		0	0	false
elo_skill_troll_innate09		elo_skill_troll_innate09	elo_troll_lord		6.0	8.0		0	0	false
elo_skill_troll_innate10		elo_skill_troll_innate10	elo_troll_lord		6.0	9.0		0	0	false
elo_skill_troll_innate11		elo_skill_troll_innate11	elo_troll_lord		6.0	10.0		0	0	false
elo_skill_troll_innate12		elo_skill_troll_innate12	elo_troll_lord		6.0	11.0		0	0	false
elo_skill_troll_food_rats		elo_skill_troll_food_rats	elo_troll_lord		2.0	1.0		0	0	true
elo_skill_troll_food_dwarfs		elo_skill_troll_food_dwarfs	elo_troll_lord		2.0	2.0		0	0	true
elo_skill_troll_food_humans		elo_skill_troll_food_humans	elo_troll_lord		2.0	3.0		0	0	true
elo_skill_troll_food_elves		elo_skill_troll_food_elves	elo_troll_lord		2.0	4.0		0	0	true
elo_skill_troll_food_green		elo_skill_troll_food_green	elo_troll_lord		2.0	5.0		0	0	true
elo_skill_troll_food_lizard		elo_skill_troll_food_lizard	elo_troll_lord		2.0	6.0		0	0	true
elo_skill_troll_food_undead		elo_skill_troll_food_undead	elo_troll_lord		2.0	7.0		0	0	true
elo_skill_troll_food_chaos		elo_skill_troll_food_chaos	elo_troll_lord		2.0	8.0		0	0	true
elo_skill_troll_food_beast		elo_skill_troll_food_beast	elo_troll_lord		2.0	9.0		0	0	true
elo_skill_troll_riverblood		elo_skill_troll_riverblood	elo_troll_lord		0.0	5.0		0	0	true
elo_skill_troll_frostblood		elo_skill_troll_frostblood	elo_troll_lord		0.0	4.0		0	0	true
elo_skill_troll_stoneblood		elo_skill_troll_stoneblood	elo_troll_lord		0.0	6.0		0	0	true
elo_skill_troll_immortality		wh2_main_skill_all_immortality_lord	elo_troll_lord		0.0	8.0		0	0	true
elo_troll_champ_campaign_01		wh2_main_skill_all_hero_assist_army_training	elo_troll_champ_skillz		5.0	0.0		0	0	true
elo_troll_champ_campaign_02		wh2_main_skill_all_hero_passive_spread_public_order	elo_troll_champ_skillz		5.0	1.0		0	0	true
elo_troll_champ_campaign_03		wh2_main_skill_all_hero_hinder_settlement_assault_garrison	elo_troll_champ_skillz		5.0	2.0		0	0	true
