technology_node_links_tables	2
child_key	initial_descent_tiers	parent_key	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset
elo_fimir_slave_eco_2_belakor_new	0	elo_fimir_slave_eco_1_belakor_new	3	1	0.0	0.0
elo_fimir_slave_eco_3_belakor_new	0	elo_fimir_slave_eco_2_belakor_new	3	1	0.0	0.0
elo_fimir_slave_eco_4_belakor_new	0	elo_fimir_slave_eco_3_belakor_new	3	1	0.0	0.0
elo_fimir_slave_eco_5_belakor_new	0	elo_fimir_slave_eco_4_belakor_new	3	1	0.0	0.0
elo_fimir_culture_eco_belakor_new	0	elo_fimir_slave_eco_5_belakor_new	3	1	0.0	0.0
elo_fimir_eco_military_belakor_new	0	elo_fimir_slave_eco_5_belakor_new	2	4	0.0	0.0
elo_fimir_culture_2_belakor_new	0	elo_fimir_culture_1_belakor_new	3	1	0.0	0.0
elo_fimir_culture_3_belakor_new	0	elo_fimir_culture_2_belakor_new	3	1	0.0	0.0
elo_fimir_culture_4_belakor_new	0	elo_fimir_culture_3_belakor_new	3	1	0.0	0.0
elo_fimir_culture_5_belakor_new	0	elo_fimir_culture_4_belakor_new	3	1	0.0	0.0
elo_fimir_culture_eco_belakor_new	0	elo_fimir_culture_5_belakor_new	2	4	0.0	0.0
elo_fimir_military_2_belakor_new	0	elo_fimir_military_1_belakor_new	3	1	0.0	0.0
elo_fimir_military_3_belakor_new	0	elo_fimir_military_2_belakor_new	3	1	0.0	0.0
elo_fimir_military_4_belakor_new	0	elo_fimir_military_3_belakor_new	3	1	0.0	0.0
elo_fimir_military_5_belakor_new	0	elo_fimir_military_4_belakor_new	3	1	0.0	0.0
elo_fimir_eco_military_belakor_new	0	elo_fimir_military_5_belakor_new	3	1	0.0	0.0
elo_fimir_military_magic_belakor_new	0	elo_fimir_military_5_belakor_new	2	4	0.0	0.0
elo_fimir_magic_2_belakor_new	0	elo_fimir_magic_1_belakor_new	3	1	0.0	0.0
elo_fimir_magic_3_belakor_new	0	elo_fimir_magic_2_belakor_new	3	1	0.0	0.0
elo_fimir_magic_4_belakor_new	0	elo_fimir_magic_3_belakor_new	3	1	0.0	0.0
elo_fimir_magic_5_belakor_new	0	elo_fimir_magic_4_belakor_new	3	1	0.0	0.0
elo_fimir_military_magic_belakor_new	0	elo_fimir_magic_5_belakor_new	3	1	0.0	0.0
elo_fimir_magic_belakor_new	0	elo_fimir_magic_5_belakor_new	2	4	0.0	0.0
elo_fimir_chaos_belakor_2_new	0	elo_fimir_chaos_belakor_1_new	3	1	0.0	0.0
elo_fimir_chaos_belakor_3_new	0	elo_fimir_chaos_belakor_2_new	3	1	0.0	0.0
elo_fimir_chaos_belakor_4_new	0	elo_fimir_chaos_belakor_3_new	3	1	0.0	0.0
elo_fimir_chaos_belakor_5_new	0	elo_fimir_chaos_belakor_4_new	3	1	0.0	0.0
elo_fimir_magic_belakor_new	0	elo_fimir_chaos_belakor_5_new	3	1	0.0	0.0
elo_fimir_loyalist_creatures_belakor_new	0	elo_fimir_chaos_belakor_5_new	2	4	0.0	0.0
elo_fimir_swamp_creatures_2_belakor_new	0	elo_fimir_swamp_creatures_1_belakor_new	3	1	0.0	0.0
elo_fimir_swamp_creatures_3_belakor_new	0	elo_fimir_swamp_creatures_2_belakor_new	3	1	0.0	0.0
elo_fimir_swamp_creatures_4_belakor_new	0	elo_fimir_swamp_creatures_3_belakor_new	3	1	0.0	0.0
elo_fimir_swamp_creatures_5_belakor_new	0	elo_fimir_swamp_creatures_4_belakor_new	3	1	0.0	0.0
elo_fimir_loyalist_creatures_belakor_new	0	elo_fimir_swamp_creatures_5_belakor_new	3	1	0.0	0.0
