battle_animations_table	culture_pack
#culture_to_battle_animation_tables_tables;0;db/culture_to_battle_animation_tables_tables/trollz	
hu4c_ice_troll_club	wh2_main_rogue_troll_skullz
hc2_chaos_spawn	wh2_main_rogue_troll_skullz
hu4c_throgg_2handed_hammer	wh2_main_rogue_troll_skullz
hu4f_dlc15_hag_staff_net	wh_main_chs_chaos
hu4f_dlc15_river_troll_club	wh_main_chs_chaos
hu4c_dlc15_stone_troll_2h_club	wh_main_chs_chaos
hu4f_dlc15_river_troll_club	wh2_main_rogue_troll_skullz
hu5_goblin_sword_bow	wh_main_chs_chaos
hu5_goblin_rp2_squig_sword	wh_main_chs_chaos
rp2_squig_hopper	wh_main_chs_chaos
hu5_goblin_sword_and_shield	wh_main_chs_chaos
