effect	icon	priority	icon_negative	category	is_positive_value_good
#effects_tables;3;db/effects_tables/!Araby_landmark					
wh2_main_effect_building_recruitment_cost_reduction_arb_OtF_khemri_elite_guard	treasury.png	106	treasury.png	campaign	false
wh2_main_effect_building_unit_recruitment_duration_arb_OtF_khemri_elite_guard	turns.png	130	turns.png	campaign	false
wh2_main_effect_building_upkeep_reduction_arb_OtF_khemri_elite_guard	military_spending.png	105	military_spending.png	campaign	false
wh2_main_effect_tech_unit_xp_levels_arb_OtF_khemri_elite_guard	experience.png	120	experience.png	campaign	true
wh2_main_effect_tech_unit_xp_levels_arb_OtF_khemri_elite_guard_global	experience.png	120	experience.png	campaign	true
landmark_effect_produce_res_ivory	res_ivory.png	2	res_ivory.png	campaign	true
wh2_main_effect_building_recruitment_cost_reduction_arb_ovn_elephant	treasury.png	106	treasury.png	campaign	false
wh2_main_effect_building_upkeep_reduction_arb_ovn_elephant	military_spending.png	105	military_spending.png	campaign	false
wh2_main_effect_tech_unit_xp_levels_arb_ovn_elephant	experience.png	120	experience.png	campaign	true
wh2_dlc09_effect_melee_attack_arb_ovn_elephant	melee.png	109	melee.png	battle	true
wh2_dlc09_effect_melee_defence_arb_ovn_elephant	defence.png	111	defence.png	battle	true
