battle_personalities_tables	9
key	man_animations_table	type	variant	battle_entity	rider_attachment_point	battle_entity_stats	autonomous_rider_hero
wh_main_arb_elephant_rider_mahout	hu1_tomb_skeleton_dual_swords	autonomous_rider	wh_main_arb_mahout	wh_main_infantry_rider	ap_mahoutposition_0		false
wh_main_arb_elephant_rider_sheikh	hu1_tomb_wm_tomb_chariot01_sword_and_shield	autonomous_rider	wh_main_arb_sheikh_mounted	wh_main_infantry_rider	ap_lordposition_0		true
wh_main_arb_elephant_rider_0	hu1_tomb_wm_tomb_chariot01_sword_and_bow	autonomous_rider	OtF_khemri_archers	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_0	wh2_dlc09_tmb_chariot_bow	false
wh_main_arb_elephant_rider_1	hu1_tomb_wm_tomb_chariot01_sword_and_bow	autonomous_rider	OtF_khemri_archers	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_1	wh2_dlc09_tmb_chariot_bow	false
wh_main_arb_elephant_rider_2	hu1_tomb_wm_tomb_chariot01_sword_and_bow	autonomous_rider	OtF_khemri_archers	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_2	wh2_dlc09_tmb_chariot_bow	false
wh_main_arb_elephant_rider_3	hu1_tomb_wm_tomb_chariot01_sword_and_bow	autonomous_rider	OtF_khemri_archers	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_3	wh2_dlc09_tmb_chariot_bow	false
wh_main_arb_elephant_rider_4	hu1_tomb_wm_tomb_chariot01_sword_and_bow	autonomous_rider	OtF_khemri_archers	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_4	wh2_dlc09_tmb_chariot_bow	false
wh_main_arb_elephant_rider_5	hu1_tomb_wm_tomb_chariot01_sword_and_bow	autonomous_rider	OtF_khemri_archers	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_5	wh2_dlc09_tmb_chariot_bow	false
wh_main_arb_elephant_rider_6	hu1_tomb_wm_tomb_chariot01_sword_and_bow	autonomous_rider	OtF_khemri_archers	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_6	wh2_dlc09_tmb_chariot_bow	false
wh_main_arb_elephant_rider_jaffar	hu1_jaffar_staff_and_sword	autonomous_rider	Sultan_Jaffar	wh_main_infantry_rider	ap_lordposition_0		true
