campaign_group_member_criteria_factions_tables	0
faction	member
wh2_main_nor_servants_of_fimulneid	ovn_ex_norsca_fimir_climate_chaotic
wh2_main_nor_servants_of_fimulneid	ovn_ex_norsca_fimir_climate_desert
wh2_main_nor_servants_of_fimulneid	ovn_ex_norsca_fimir_climate_frozen
wh2_main_nor_servants_of_fimulneid	ovn_ex_norsca_fimir_climate_island
wh2_main_nor_servants_of_fimulneid	ovn_ex_norsca_fimir_climate_jungle
wh2_main_nor_servants_of_fimulneid	ovn_ex_norsca_fimir_climate_magicforest
wh2_main_nor_servants_of_fimulneid	ovn_ex_norsca_fimir_climate_mountain
wh2_main_nor_servants_of_fimulneid	ovn_ex_norsca_fimir_climate_ocean
wh2_main_nor_servants_of_fimulneid	ovn_ex_norsca_fimir_climate_savannah
wh2_main_nor_servants_of_fimulneid	ovn_ex_norsca_fimir_climate_temperate
wh2_main_nor_servants_of_fimulneid	ovn_ex_norsca_fimir_climate_wasteland
