army_name	unit_name	script_name	number_of_unit
#battle_set_piece_armies_units_junctions_tables;3;db/battle_set_piece_armies_units_junctions_tables/ovn			
ovn_qb_gru_zandri_enemy	wh2_dlc09_tmb_inf_skeleton_spearmen_0		1
ovn_qb_gru_zandri_enemy	wh2_dlc09_tmb_inf_skeleton_archers_0		1
ovn_qb_gru_zandri_enemy	wh2_dlc09_tmb_inf_skeleton_warriors_0		2
ovn_qb_gru_zandri_enemy	wh2_dlc09_tmb_art_screaming_skull_catapult_0		1
ovn_qb_gru_zandri_enemy	elo_dread_mummy		1
ovn_qb_gru_zandri_enemy	wh2_dlc09_tmb_cav_hexwraiths		1
ovn_qb_gru_zandri_enemy	wh2_dlc09_tmb_inf_crypt_ghouls		1
ovn_qb_gru_zandri_enemy	elo_tomb_guardian		1
ovn_qb_gru_zandri_enemy	elo_dread_inf_grave_guard_0		1
ovn_qb_gru_zandri_enemy	wh2_dlc09_tmb_mon_carrion_0		1
ovn_qb_gru_zandri_player	grudgebringer_infantry		1
ovn_qb_gru_zandri_ally	ovn_arb_cav_archer_camel		1
ovn_qb_gru_zandri_ally	OtF_khemri_kepra_guard		1
ovn_qb_gru_morgheim_enemy	wh2_dlc09_tmb_inf_skeleton_spearmen_0		1
ovn_qb_gru_morgheim_enemy	wh2_dlc09_tmb_inf_skeleton_archers_0		1
ovn_qb_gru_morgheim_enemy	wh2_dlc09_tmb_inf_skeleton_warriors_0		1
ovn_qb_gru_morgheim_enemy	elo_dread_inf_grave_guard_0		1
ovn_qb_gru_morgheim_enemy	wh2_dlc09_tmb_cav_hexwraiths		1
ovn_qb_gru_morgheim_enemy	wh2_dlc09_tmb_inf_crypt_ghouls		1
ovn_qb_gru_morgheim_enemy	ovn_boglar		1
ovn_qb_gru_morgheim_enemy	ovn_shearl		1
ovn_qb_gru_morgheim_enemy	ovn_marsh_hounds		1
ovn_qb_gru_morgheim_enemy	ovn_fim_mon_javelin_0		1
ovn_qb_gru_morgheim_enemy	ovn_death_quest		1
ovn_qb_gru_morgheim_player	grudgebringer_infantry		1
ovn_qb_gru_morgheim_ally	wh_main_dwf_inf_slayers_rank_1_tier_4		1
ovn_qb_gru_morgheim_ally	wh_dlc06_dwf_inf_rangers_0_tier_3		1
ovn_qb_gru_morgheim_ally	azguz_bloodfist_dwarf_warriors		1
