group_key	unit_key	quality
#cdir_military_generator_unit_qualities_tables;1;db/cdir_military_generator_unit_qualities_tables/ovn_araby		
Default_land_cavalry_melee	OtF_khemri_knights	20
Default_land_infantry_melee	OtF_khemri_kepra_guard	10
Default_land_infantry_melee	OtF_khemri_spearmen	5
Default_land_infantry_melee	OtF_khemri_swordsmen	5
Default_land_infantry_missile	OtF_khemri_archers	5
Default_land_infantry_melee	OtF_khemri_elite_guard	10
Default_land_infantry_missile	OtF_khemri_rangers	12
Default_land_cavalry_melee	ovn_yeoman	5
Default_land_support	ovn_yeomanarchers	5
Default_land_support	wh_main_arb_cav_magic_carpet_0	12
Default_land_monster	ovn_elephant	25
Default_land_infantry_melee	ovn_corsairs	10
Default_land_infantry_melee	ovn_southlander	10
Default_land_monster	ovn_prometheans	15
Default_land_infantry_melee	ovn_slave	3
Default_land_monster	ovn_ifreet	15
Default_land_infantry_missile	ovn_jez	11
Default_land_infantry_melee	ovn_glad	15
Default_land_monster	ovn_scor	15
Default_land_cavalry_melee	ovn_knights_ror	22
Default_land_cavalry_melee	ovn_cat_knights	22
Default_land_cavalry_melee	ovn_cat_knights_ror	24
Default_land_infantry_missile	ovn_jez_ror	13
Default_land_infantry_melee	ovn_jag	15
Default_land_infantry_melee	ovn_jag_ror	17
Default_land_monster	ovn_elephant_ror	27
Default_land_monster	ovn_arb_mon_war_elephant_ror	29
Default_land_artillery	ovn_bom_ror	20
Default_land_artillery	ovn_arb_art_grand_bombard	20
Default_land_infantry_monterous	sr_ogre_arb	18
Default_land_monster	hous_nec	28
Default_land_artillery	ovn_arb_art_trebuchet	10
Default_land_monster	ovn_arb_mon_genie	20
Default_land_monster	wh_main_arb_mon_elephant	20
Default_land_monster	wh_main_arb_mon_war_elephant	25
Default_land_magic	wh_main_arb_cha_sheikh_2	10
Default_land_monster	ovn_arb_cav_scorpion	10
Default_land_magic	wh_main_arb_cha_sheikh_2_02	10
Default_land_monster	ovn_dkl_mon_skeleton_giant	15
Default_land_monster	ovn_vmp_mon_skeleton_giant	15
Default_land_artillery	ovn_alb_inf_stone_throw_giant	15
Default_land_cavalry_missile	ovn_arb_cav_jezzail_camel	15
Default_land_cavalry_missile	ovn_arb_cav_archer_camel	5
Default_land_support	ovn_arb_cav_flying_carpet_ror	20
Default_land_infantry_melee	elo_dread_inf_grave_guard_0	15
Default_land_cavalry_melee	ovn_arb_cav_lancer_camel	5
Default_land_magic	elo_boglar_shaman_hound	1
Default_land_magic	ovn_arb_cha_magician_life_0	1
Default_land_magic	ovn_arb_cha_magician_desert_0	10
Default_land_magic	ovn_arb_cha_magician_fire_0	10
Default_land_magic	ovn_arb_cha_magician_heavens_0	10
Default_land_magic	ovn_arb_cha_magician_life_1	10
Default_land_magic	ovn_arb_cha_magician_desert_1	10
Default_land_magic	ovn_arb_cha_magician_fire_1	10
Default_land_magic	ovn_arb_cha_magician_heavens_1	10
Default_land_magic	ovn_arb_cha_magician_life_2	10
Default_land_magic	ovn_arb_cha_magician_desert_2	10
Default_land_magic	ovn_arb_cha_magician_fire_2	10
Default_land_magic	ovn_arb_cha_magician_heavens_2	10
Default_land_magic	roy_arb_cha_nomad_horse_jezzail	10
Default_land_magic	elo_dread_larenscheld	10
Default_land_magic	elo_dread_larenscheld_wright	10
Default_land_magic	elo_dread_larenscheld_wright_perfect	10
Default_land_magic	ovn_hlf_fieldwarden_0	10
Default_land_magic	ovn_hlf_master_chef_0	10
Default_land_magic	ovn_hlf_sheriff_0	10
Default_land_magic	ovn_hlf_master_chef_1	10
Default_land_magic	ovn_hlf_sheriff_1	10
Default_land_magic	ovn_com_cha_aragand_the_layabout_0	10
Default_land_magic	ovn_com_cha_aragand_the_layabout_1	10
Default_land_magic	ovn_com_cha_legles_the_elf_0	10
Default_land_magic	ovn_com_cha_giblit_the_dwarf_0	10
Default_land_magic	fim_meargh_skattach	10
Default_land_magic	ovn_rbt_ch_blightstormer	10
Default_land_artillery	wh_main_mtl_veh_soupcart	25
Default_land_command	Sultan_Jaffar	10
Default_land_magic	roy_arb_cha_nomad	10
Default_land_magic	roy_arb_cha_nomad_horse	10
Default_land_magic	roy_arb_cha_champion	10
Default_land_magic	roy_arb_cha_champion_horse	10
Default_land_magic	roy_arb_cha_champion_warhorse	10
Default_land_magic	roy_arb_cha_champion_elephant	12
Default_land_command	roy_arb_cha_lord_horse	10
Default_land_magic	roy_arb_cha_nomad_assassin	10
Default_land_magic	roy_arb_cha_nomad_assassin_summoned	10
Default_land_command	ovn_araby_ll_mount	12
Default_land_command	ovn_araby_ll	10
Default_land_artillery	akp_brt_ballista	5
Default_land_command	arb_vizier_fire_0	10
Default_land_command	arb_vizier_life_0	10
Default_land_command	arb_vizier_heavens_0	10
Default_land_command	arb_vizier_desert_0	10
