battle_animations_table	culture_pack
#culture_to_battle_animation_tables_tables;0;db/culture_to_battle_animation_tables_tables/dark_omen_ror	
hu1_paladin_sword_and_shield	wh_main_emp_empire
hu1_leoncoeur_hr1_warhorse_sword_and_shield	wh_main_emp_empire
hu3_dwarf_axe_and_shield	wh_main_emp_empire
hu2_orc_sword_and_axe	wh_main_emp_empire
hu2_orc_dual_swords	wh_main_emp_empire
hu3_runelord_hammer	wh_main_emp_empire
hu1_bretonnian_sword_and_longbow	wh_main_emp_empire
hu1d_welf_sword_and_bow	wh_main_emp_empire
hu1d_elf_2handed_spear	wh_main_emp_empire
hu21_treeman	wh_main_emp_empire
hu1b_bretonnian_sword_and_chalice	wh_main_emp_empire
hu1b_vampire_sword	wh_main_emp_empire
hu1_bretonnian_hr1_warhorse_2handed_sword	wh_main_emp_empire
hu1d_hef_lord_sword	wh_main_emp_empire
