technology_effects_junction_tables	0
technology	effect	effect_scope	value
albion_tech_war_1	elo_warband_cost	faction_to_force_own_unseen	-15.0
albion_tech_war_2	elo_warband_matt	faction_to_force_own_unseen	4.0
albion_tech_war_2	elo_warband_mdef	faction_to_force_own_unseen	4.0
albion_tech_war_3	elo_ranged_reload	faction_to_force_own_unseen	15.0
albion_tech_war_3	elo_ranged_xp	faction_to_force_own_unseen	2.0
albion_tech_war_4	elo_riders_charge	faction_to_force_own_unseen	15.0
albion_tech_war_4	elo_riders_speed	faction_to_force_own_unseen	15.0
albion_tech_war_5	elo_elite_warband_wps	faction_to_force_own_unseen	20.0
albion_tech_war_5	elo_elite_matt	faction_to_force_own_unseen	6.0
albion_tech_war_truth_1	disable_war_fury_2	faction_to_force_own	1.0
albion_tech_war_truth_2	elo_allrange_ammo	faction_to_force_own_unseen	25.0
albion_tech_war_truth_2	elo_allrange_dmg	faction_to_force_own_unseen	25.0
albion_tech_war_truth_3	elo_noble_cav_chariot_armour	faction_to_force_own_unseen	15.0
albion_tech_war_truth_3	elo_noble_cav_chariot_vigour	faction_to_force_own_unseen	-25.0
albion_tech_war_truth_4	wh2_main_effect_tech_melee_attack_increase_lords_heroes	faction_to_force_own_unseen	5.0
albion_tech_war_truth_4	wh_main_effect_agent_recruitment_xp_all_agents	faction_to_province_own_unseen	5.0
albion_tech_war_truth_4	wh_main_faction_xp_increase_generals	faction_to_province_own_unseen	5.0
albion_tech_war_truth_4	wh_main_faction_xp_increase_generals_hidden	faction_to_force_own_unseen	5.0
albion_tech_truth_1	wh_main_effect_technology_research_points_mod	faction_to_faction_own_unseen	5.0
albion_tech_truth_2	wh2_main_effect_diplomacy_bonus_high_elves_lizardmen_technology	faction_to_faction_own_unseen	25.0
albion_tech_truth_2	wh_dlc03_faction_diplomacy_penalty_chaos_technology	faction_to_faction_own_unseen	-35.0
albion_tech_truth_2	wh_main_faction_diplomacy_penalty_norsca_technology	faction_to_faction_own_unseen	-35.0
albion_tech_truth_3	albion_ancient_allies_missiles_res	faction_to_force_own_unseen	15.0
albion_tech_truth_3	albion_ancient_allies_speed	faction_to_force_own_unseen	15.0
albion_tech_truth_3	albion_ancient_mattk	faction_to_force_own_unseen	6.0
albion_tech_truth_4	albion_monsters_fen_anti_small	faction_to_force_own_unseen	8.0
albion_tech_truth_4	albion_monsters_fen_mdef	faction_to_force_own_unseen	10.0
albion_tech_truth_4	albion_monsters_fen_mattk	faction_to_force_own_unseen	4.0
albion_tech_truth_5	enable_zeal_holy_albion	faction_to_force_own_unseen	1.0
albion_tech_truth_peace_1	wh_main_effect_economy_trade_tariff_mod	faction_to_faction_own_unseen	50.0
albion_tech_truth_peace_1	wh_main_effect_economy_gdp_mod_trade_sea	faction_to_region_own_unseen	50.0
albion_tech_truth_peace_2	wh2_dlc10_effect_faction_all_campaign_movement_range	faction_to_force_own_unseen	10.0
albion_tech_truth_peace_2	elo_albion_upkeep_all	faction_to_army_own	-15.0
albion_tech_truth_peace_3	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own_unseen	10.0
albion_tech_truth_peace_3	wh_main_effect_province_growth_tech	faction_to_province_own_unseen	15.0
albion_tech_truth_peace_4	wh_main_effect_tech_battle_morale_increase_lords_and_heroes	faction_to_force_own_unseen	10.0
albion_tech_truth_peace_4	wh_main_effect_agent_action_outcome_target_defence_success_chance_enemy	faction_to_region_own_unseen	-25.0
albion_tech_truth_peace_4	wh_main_effect_agent_action_success_chance	faction_to_character_own_unseen	25.0
albion_tech_truth_peace_4	wh_main_effect_military_force_winds_of_magic_depletion_mod_other	faction_to_force_own	10.0
albion_tech_peace_1	wh_main_effect_province_growth_tech	faction_to_faction_own_unseen	5.0
albion_tech_peace_2	wh_main_effect_economy_trade_good_commodity_mod	faction_to_faction_own_unseen	5.0
albion_tech_peace_2	elo_wooden_structures_cost	faction_to_force_own_unseen	-15.0
albion_tech_peace_2	wh_main_effect_building_construction_cost_mod_infrastructure	faction_to_region_own_unseen	-15.0
albion_tech_peace_3	wh_main_effect_economy_gdp_mod_all	faction_to_region_own_unseen	8.0
albion_tech_peace_3	elo_hunting_parties_upkeep	faction_to_army_own	-10.0
albion_tech_peace_4	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own_unseen	20.0
albion_tech_peace_4	wh_main_effect_religion_conversion_untainted_technologies	faction_to_faction_own	5.0
albion_tech_peace_5	wh_main_effect_public_order_tech	faction_to_province_own_unseen	4.0
albion_tech_ultimate	wh_main_faction_diplomacy_bonus_order_factions_technology	faction_to_faction_own_unseen	40.0
albion_tech_ultimate	elo_albion_protectors_world	faction_to_force_own	1.0
albion_tech_ultimate	wh_dlc03_faction_diplomacy_penalty_beastmen	faction_to_faction_own_unseen	-100.0
albion_tech_ultimate	wh_dlc03_faction_diplomacy_penalty_chaos_technology	faction_to_faction_own_unseen	-100.0
albion_tech_ultimate	wh_main_faction_diplomacy_penalty_norsca_technology	faction_to_faction_own_unseen	-100.0
