art_set_id	agent_type	culture	subculture	faction	is_custom	is_male	agent_subtype	campaign_map_scale
#campaign_character_art_sets_tables;6;db/campaign_character_art_sets_tables/ovn_lost_factions_gold								
elo_carrion_boss	spy				false	true	elo_carrion_boss	1.1
ovn_stormrider	general				false	true	ovn_stormrider	1.1
arb_fatandira	general				false	true	arb_fatandira	1.0
arb_golden_magus	general				false	true	arb_golden_magus	1.4
ovn_hlf_glibfoot	general				false	true	ovn_hlf_glibfoot	1.4
ovn_hlf_moot_general	general				false	true	ovn_hlf_moot_general	1.4
ovn_hlf_moot_general_1	general				false	true	ovn_hlf_moot_general	1.4
ovn_hlf_fieldwarden_01	spy				false	true	ovn_hlf_fieldwarden	1.0
ovn_hlf_fieldwarden_02	spy				false	true	ovn_hlf_fieldwarden	1.0
ovn_hlf_master_chef_01	dignitary				false	true	ovn_hlf_master_chef	1.0
ovn_hlf_master_chef_02	dignitary				false	true	ovn_hlf_master_chef	1.0
ovn_hlf_sheriff_01	champion				false	true	ovn_hlf_sheriff	1.0
ovn_hlf_sheriff_02	champion				false	true	ovn_hlf_sheriff	1.0
wh_main_art_set_vmp_necromancer_01	wizard				false	true	vmp_necromancer	1.0
wh_main_art_set_vmp_necromancer_02	wizard				false	true	vmp_necromancer	1.0
wh_main_art_set_vmp_necromancer_03	wizard				false	true	vmp_necromancer	1.0
albion_morrigan	general		wh_main_sc_nor_albion		false	true	albion_morrigan	1.0
albion_warleader	general		wh_main_sc_nor_albion		false	true	albion_warleader	1.0
albion_truthsayer_beast	general		wh_main_sc_nor_albion		false	true	albion_truthsayer_beast	1.0
albion_truthsayer_life	general		wh_main_sc_nor_albion		false	true	albion_truthsayer_life	1.0
albion_truthsayer_light	general		wh_main_sc_nor_albion		false	true	albion_truthsayer_light	1.0
albion_truthsayer_truth	general		wh_main_sc_nor_albion		false	true	albion_truthsayer_truth	1.0
albion_wyrd_druid	wizard		wh_main_sc_nor_albion		false	true	albion_wyrd_druid	1.0
albion_chief	champion		wh_main_sc_nor_albion		false	true	albion_chief	1.0
bl_elo_dural_durak	general		wh_main_sc_nor_albion		false	true	bl_elo_dural_durak	1.0
elo_dread_larenscheld	wizard				false	true	elo_dread_larenscheld	1.0
elo_cha_troll_lord_01	general				false	true	elo_cha_troll_lord	1.0
elo_cha_troll_lord_02	general				false	true	elo_cha_troll_lord	1.0
elo_cha_troll_lord_03	general				false	true	elo_cha_troll_lord	1.0
wh2_dlc15_art_set_grn_river_troll_hag_01	runesmith				false	false	wh2_dlc15_grn_river_troll_hag	0.65
wh2_dlc15_art_set_grn_river_troll_hag_02	runesmith				false	false	wh2_dlc15_grn_river_troll_hag	0.65
wh2_dlc15_art_set_grn_river_troll_hag_03	runesmith				false	false	wh2_dlc15_grn_river_troll_hag	0.65
wh2_dlc15_art_set_grn_river_troll_hag_04	runesmith				false	false	wh2_dlc15_grn_river_troll_hag	0.65
wh2_dlc15_art_set_grn_river_troll_hag_05	runesmith				false	false	wh2_dlc15_grn_river_troll_hag	0.65
wh_main_art_set_emp_bright_wizard_01	wizard				false	true	emp_bright_wizard	1.0
wh_main_art_set_emp_bright_wizard_02	wizard				false	true	emp_bright_wizard	1.0
wh_main_art_set_emp_bright_wizard_03	wizard				false	true	emp_bright_wizard	1.0
ovn_art_set_dwf_lord_01	general			wh_main_emp_empire_separatists	false	true	dwf_lord	1.0
wh2_pro07_art_set_emp_amethyst_wizard_01	wizard	wh_main_emp_empire			false	true	wh2_pro07_emp_amethyst_wizard	1.0
wh2_pro07_art_set_emp_amethyst_wizard_02	wizard	wh_main_emp_empire			false	true	wh2_pro07_emp_amethyst_wizard	1.0
wh2_pro07_art_set_emp_amethyst_wizard_03	wizard	wh_main_emp_empire			false	true	wh2_pro07_emp_amethyst_wizard	1.0
wh_dlc03_art_set_emp_amber_wizard_01	wizard	wh_main_emp_empire			false	true	dlc03_emp_amber_wizard	1.0
wh_dlc03_art_set_emp_amber_wizard_02	wizard	wh_main_emp_empire			false	true	dlc03_emp_amber_wizard	1.0
ovn_art_set_com_olorin_the_grey_wizard	general	wh_main_emp_empire			false	true	ovn_com_olorin_the_grey_wizard	1.0
ovn_art_set_com_aragand_the_layabout	champion	wh_main_emp_empire			false	true	ovn_com_aragand_the_layabout	1.0
ovn_art_set_com_legles_the_elf	spy	wh_main_emp_empire			false	true	ovn_com_legles_the_elf	1.0
ovn_art_set_com_giblit_the_dwarf	champion	wh_main_emp_empire			false	true	ovn_com_giblit_the_dwarf	1.0
ovn_art_set_arb_magician_life	wizard				false	true	arb_magician_life	1.0
ovn_art_set_arb_magician_desert	wizard				false	true	arb_magician_desert	1.0
ovn_art_set_arb_magician_fire	wizard				false	true	arb_magician_fire	1.0
ovn_art_set_arb_magician_heavens	wizard				false	true	arb_magician_heavens	1.0
wh_dlc08_art_set_nor_fimir_balefiend_01	dignitary				false	true	wh_dlc08_nor_fimir_balefiend_fire	1.0
wh_dlc08_art_set_nor_fimir_balefiend_02	dignitary				false	true	wh_dlc08_nor_fimir_balefiend_fire	1.0
wh_dlc08_art_set_nor_fimir_balefiend_03	dignitary				false	true	wh_dlc08_nor_fimir_balefiend_shadow	1.0
wh_main_art_set_grn_night_goblin_shaman_01	wizard				false	true	grn_night_goblin_shaman	1.1
wh_main_art_set_grn_night_goblin_shaman_02	wizard				false	true	grn_night_goblin_shaman	1.1
wh_main_art_set_grn_night_goblin_shaman_03	wizard				false	true	grn_night_goblin_shaman	1.1
wh_main_art_set_grn_night_goblin_shaman_04	wizard				false	true	grn_night_goblin_shaman	1.1
wh_main_art_set_grn_night_goblin_shaman_05	wizard				false	true	grn_night_goblin_shaman	1.1
