ancillary_included_subcultures_tables	0
ancillary	subculture
wh2_dlc12_anc_mount_lzd_tlaqua_skink_chief_terradon	wh_main_sc_lzd_amazon
wh2_dlc12_anc_mount_lzd_tlaqua_skink_priest_beasts_terradon	wh_main_sc_lzd_amazon
wh2_dlc12_anc_mount_lzd_tlaqua_skink_priest_heavens_terradon	wh_main_sc_lzd_amazon
wh2_dlc12_lzd_anc_follower_chameleon_spotter	wh_main_sc_lzd_amazon
wh2_dlc12_lzd_anc_follower_consul_of_calith	wh_main_sc_lzd_amazon
wh2_dlc12_lzd_anc_follower_lotl_botls_spawn_brother	wh_main_sc_lzd_amazon
wh2_dlc12_lzd_anc_follower_obsinite_miner_skink	wh_main_sc_lzd_amazon
wh2_dlc12_lzd_anc_follower_piqipoqi_qupacoco	wh_main_sc_lzd_amazon
wh2_dlc12_lzd_anc_follower_priest_of_the_star_chambers	wh_main_sc_lzd_amazon
wh2_dlc12_lzd_anc_follower_prophets_spawn_brother	wh_main_sc_lzd_amazon
wh2_dlc12_lzd_anc_follower_swamp_trawler_skink	wh_main_sc_lzd_amazon
wh2_dlc12_lzd_anc_magic_standard_coatlpelt_flagstaff	wh_main_sc_lzd_amazon
wh2_dlc12_lzd_anc_magic_standard_culchan_feathered_standard	wh_main_sc_lzd_amazon
wh2_dlc12_lzd_anc_magic_standard_exalted_banner_of_xapati	wh_main_sc_lzd_amazon
wh2_dlc12_lzd_anc_magic_standard_flag_of_the_daystar	wh_main_sc_lzd_amazon
wh2_dlc12_lzd_anc_magic_standard_shroud_of_chaqua	wh_main_sc_lzd_amazon
wh2_dlc12_lzd_anc_magic_standard_sign_of_the_coiled_one	wh_main_sc_lzd_amazon
wh2_dlc12_lzd_anc_magic_standard_totem_of_the_spitting_viper	wh_main_sc_lzd_amazon
wh2_dlc12_lzd_anc_magic_standard_totem_pole_of_destiny	wh_main_sc_lzd_amazon
wh2_dlc13_anc_armour_the_shield_of_aeons	wh_main_sc_lzd_amazon
