effect_bonus_value_ids_unit_sets_tables	0
bonus_value_id	effect	unit_set
cost_mod	elo_warband_cost	elo_warband
reload	elo_ranged_reload	elo_ranged_special
unit_xp_mod	elo_ranged_xp	elo_ranged_special
melee_damage_mod_mult	elo_elite_warband_wps	elo_elite_warband
armour_mod	elo_noble_cav_chariot_armour	elo_noble_cav_chariot
unit_fatigue_resistance_mod	elo_noble_cav_chariot_vigour	elo_noble_cav_chariot
unit_damage_resistance_missile_mod	albion_ancient_allies_missiles_res	albion_ancient_allies
mod_land_movement_battle	albion_ancient_allies_speed	albion_ancient_allies
melee_attack_mod	albion_ancient_mattk	albion_ancient_allies
damage_vs_infantry	albion_monsters_fen_anti_small	albion_monsters_fen
melee_defence_mod	albion_monsters_fen_mdef	albion_monsters_fen
melee_attack_mod	albion_monsters_fen_mattk	albion_monsters_fen
upkeep_mod	elo_albion_upkeep_all	all_units
upkeep_mod	elo_hunting_parties_upkeep	elo_hunting_parties
cost_mod	elo_wooden_structures_cost	elo_wooden_structures
