ancillary_to_included_agents_tables	0
ancillary	agent
albion_hunting_dog	general
albion_lone_huntress	general
albion_woad_raider	general
albion_tame_raven	general
albion_chief	general
albion_druid_advisor	general
albion_old_warrior	general
albion_scavanger	general
albion_woman	general
fenbeast_follower	general
hearthguard_follower	general
druid_neophyte	general
albion_hardened_warrior	general
albion_scary_banner	general
anc_albion_triskele_banner	general
anc_danu_banner	general
anc_albion_hunter_banner	general
albion_hunting_dog	wizard
albion_lone_huntress	wizard
albion_woad_raider	wizard
albion_tame_raven	wizard
albion_druid_advisor	wizard
albion_chief	wizard
albion_scavanger	wizard
druid_neophyte	wizard
albion_hunting_dog	champion
albion_lone_huntress	champion
albion_woad_raider	champion
albion_tame_raven	champion
albion_druid_advisor	champion
albion_chief	champion
albion_scavanger	champion
hearthguard_follower	champion
