units_to_groupings_military_permissions_tables	0
unit	military_group
wh_main_chs_mon_trolls	ovn_troll
wh_main_grn_mon_trolls	ovn_troll
elo_armoured_icetrolls	ovn_troll
wh_dlc01_chs_mon_trolls_1	ovn_troll
elo_southern_trolls	ovn_troll
elo_river_trolls	ovn_troll
elo_mountain_trolls	ovn_troll
elo_shipwreckers	ovn_troll
elo_cha_troll_lord	ovn_troll
elo_kin	ovn_troll
elo_forest_trolls	ovn_troll
elo_armoured_icetrolls_erengrad	ovn_troll
elo_river_trolls_erengrad	ovn_troll
elo_mountain_trolls_erengrad	ovn_troll
elo_forest_trolls_erengrad	ovn_troll
elo_bile_trolls	ovn_troll
elo_snow_troll	ovn_troll
wh_dlc08_nor_mon_norscan_ice_trolls_0	ovn_troll
wh2_dlc15_grn_mon_river_trolls_0_no_scrap	ovn_troll
wh2_dlc15_grn_mon_stone_trolls_0_no_scrap	ovn_troll
ovn_troll_mon_wyvern	ovn_troll
ovn_trl_inf_stone_throw_troll	ovn_troll
elo_chief_ugma	ovn_troll
elo_carrion_gobbo_bow	ovn_troll
elo_carrion_squig_hoppers	ovn_troll
elo_carrion_gobbo_melee	ovn_troll
elo_night_trolls_ror	ovn_troll
wh2_dlc15_grn_mon_river_trolls_ror_0	ovn_troll
elo_red_avalanche	ovn_troll
elo_lava_trolls	ovn_troll
elo_warpstone_trolls	ovn_troll
