ui_unit_bullet_point_enums_tables	3
key	state	sort_order
gunther_schepke	positive	0
shield_of_ptolos	positive	0
hellfire_sword	positive	0
wolfgang_schwartzkopf	positive	0
grudgebringer_sword	positive	0
enchanted_shield	positive	0
spelleater_shield	positive	0
ungrunn_dragonbane_order	positive	0
deal_with_the_emperor	positive	0
morgan_bernhardt	positive	0
willem_fletcher	positive	0
azguz_bloodfist	positive	0
dargrimm_firebeard	positive	0
rune_weapon	positive	0
necromantic_anchor	positive	0
elo_only_bones	positive	0
embalmed_bodies	positive	0
curse_of_the_mummy	positive	0
