campaign_key	faction_key	level	skill_key	subculture_key	image_path	unlocked_at_rank
#character_skill_level_details_tables;0;db/character_skill_level_details_tables/ovn_arb_vizier						
		1	arb_vizier_administrator		x	9
		1	arb_vizier_scholar		x	9
		1	arb_vizier_schemer		x	9
		1	arb_vizier_life_magic_carpet		x	12
		1	arb_vizier_life_camel		x	6
		1	arb_vizier_fire_magic_carpet		x	12
		1	arb_vizier_fire_camel		x	6
		1	arb_vizier_heavens_magic_carpet		x	12
		1	arb_vizier_heavens_camel		x	6
		1	arb_vizier_desert_magic_carpet		x	12
		1	arb_vizier_desert_camel		x	6
