character_skill	character_skill_node	level
#character_skill_nodes_skill_locks_tables;0;db/character_skill_nodes_skill_locks_tables/ak_vassals_of_monsters_king_data		
wh_dlc08_skill_nor_lords_battle_fight_or_die	aky_chief_fimir_great_weapons_skill_4_13	1
wh_dlc08_skill_nor_lord_battle_stand_or_die	aky_chief_fimir_great_weapons_skill_4_14	1
wh_dlc08_skill_nor_lord_self_carrier_of_death	aky_chief_fimir_great_weapons_skill_a_1_01	1
wh_dlc08_skill_nor_lord_self_dark_deceiver	aky_chief_fimir_great_weapons_skill_a_1_01	1
wh_dlc08_skill_nor_lord_self_indulger_of_the_exotic	aky_chief_fimir_great_weapons_skill_a_1_01	1
wh_dlc08_skill_nor_lord_self_intoxicating_visions	aky_chief_fimir_great_weapons_skill_a_1_01	1
wh_dlc08_skill_nor_lord_self_putrefying_ooze	aky_chief_fimir_great_weapons_skill_a_1_01	1
wh_dlc08_skill_nor_lord_self_spirit_wanderer	aky_chief_fimir_great_weapons_skill_a_1_01	1
wh_dlc08_skill_nor_lord_self_carrier_of_death	aky_chief_fimir_great_weapons_skill_a_1_02	1
wh_dlc08_skill_nor_lord_self_dark_deceiver	aky_chief_fimir_great_weapons_skill_a_1_02	1
wh_dlc08_skill_nor_lord_self_indulger_of_the_exotic	aky_chief_fimir_great_weapons_skill_a_1_02	1
wh_dlc08_skill_nor_lord_self_intoxicating_visions	aky_chief_fimir_great_weapons_skill_a_1_02	1
wh_dlc08_skill_nor_lord_self_putrefying_ooze	aky_chief_fimir_great_weapons_skill_a_1_02	1
wh_dlc08_skill_nor_lord_self_spirit_wanderer	aky_chief_fimir_great_weapons_skill_a_1_02	1
wh_dlc08_skill_nor_lord_self_chrons_wrath	aky_chief_fimir_great_weapons_skill_a_1_04	1
wh_dlc08_skill_nor_lord_self_dark_deceiver	aky_chief_fimir_great_weapons_skill_a_1_04	1
wh_dlc08_skill_nor_lord_self_drinker_of_blood	aky_chief_fimir_great_weapons_skill_a_1_04	1
wh_dlc08_skill_nor_lord_self_indulger_of_the_exotic	aky_chief_fimir_great_weapons_skill_a_1_04	1
wh_dlc08_skill_nor_lord_self_intoxicating_visions	aky_chief_fimir_great_weapons_skill_a_1_04	1
wh_dlc08_skill_nor_lord_self_spirit_wanderer	aky_chief_fimir_great_weapons_skill_a_1_04	1
wh_dlc08_skill_nor_lord_self_chrons_wrath	aky_chief_fimir_great_weapons_skill_a_1_05	1
wh_dlc08_skill_nor_lord_self_dark_deceiver	aky_chief_fimir_great_weapons_skill_a_1_05	1
wh_dlc08_skill_nor_lord_self_drinker_of_blood	aky_chief_fimir_great_weapons_skill_a_1_05	1
wh_dlc08_skill_nor_lord_self_indulger_of_the_exotic	aky_chief_fimir_great_weapons_skill_a_1_05	1
wh_dlc08_skill_nor_lord_self_intoxicating_visions	aky_chief_fimir_great_weapons_skill_a_1_05	1
wh_dlc08_skill_nor_lord_self_spirit_wanderer	aky_chief_fimir_great_weapons_skill_a_1_05	1
wh_dlc08_skill_nor_lord_self_carrier_of_death	aky_chief_fimir_great_weapons_skill_b_1_01	1
wh_dlc08_skill_nor_lord_self_chrons_wrath	aky_chief_fimir_great_weapons_skill_b_1_01	1
wh_dlc08_skill_nor_lord_self_dark_deceiver	aky_chief_fimir_great_weapons_skill_b_1_01	1
wh_dlc08_skill_nor_lord_self_drinker_of_blood	aky_chief_fimir_great_weapons_skill_b_1_01	1
wh_dlc08_skill_nor_lord_self_putrefying_ooze	aky_chief_fimir_great_weapons_skill_b_1_01	1
wh_dlc08_skill_nor_lord_self_spirit_wanderer	aky_chief_fimir_great_weapons_skill_b_1_01	1
wh_dlc08_skill_nor_lord_self_carrier_of_death	aky_chief_fimir_great_weapons_skill_b_1_02	1
