key	faction_effects	faction_leader_effects	icon	resource_cost	vo_trigger
#cooking_recipes_tables;4;db/cooking_recipes_tables/@cr_halfling_cooking					
ovn_food_dish_1	ovn_food_dish_1		ui/skins/default/hlf_recipe_meat_pie.png	ovn_cooking_cost	
ovn_food_dish_2	ovn_food_dish_2		ui/skins/default/hlf_recipe_savory_roast.png	ovn_cooking_cost	
ovn_food_dish_3	ovn_food_dish_3		ui/skins/default/hlf_recipe_salad.png	ovn_cooking_cost	
ovn_food_dish_4	ovn_food_dish_4		ui/skins/default/hlf_recipe_fruit_salad.png	ovn_cooking_cost	
ovn_food_dish_5	ovn_food_dish_5		ui/skins/default/hlf_recipe_soup.png	ovn_cooking_cost	
ovn_food_dish_6	ovn_food_dish_6		ui/skins/default/hlf_recipe_sweet_roast.png	ovn_cooking_cost	
ovn_food_dish_7	ovn_food_dish_7		ui/skins/default/hlf_recipe_fruit_pie.png	ovn_cooking_cost	
ovn_food_dish_8	ovn_food_dish_8		ui/skins/default/hlf_recipe_veggie_pie.png	ovn_cooking_cost	
ovn_food_dish_9	ovn_food_dish_9		ui/skins/default/hlf_recipe_bread.png	ovn_cooking_cost	
ovn_food_dish_10	ovn_food_dish_10		ui/skins/default/hlf_recipe_compote.png	ovn_cooking_cost	
ovn_food_special_dish_1	ovn_food_special_dish_1		ui/skins/default/hlf_recipe_baklava.png	ovn_cooking_cost	
ovn_food_special_dish_2	ovn_food_special_dish_2		ui/skins/default/hlf_recipe_spaghetti.png	ovn_cooking_cost	
ovn_food_special_dish_3	ovn_food_special_dish_3		ui/skins/default/hlf_recipe_magic_fruitcake.png	ovn_cooking_cost	
ovn_food_special_dish_4	ovn_food_special_dish_4		ui/skins/default/hlf_recipe_sushi.png	ovn_cooking_cost	
ovn_food_special_dish_5	ovn_food_special_dish_5		ui/skins/default/hlf_recipe_gimlet.png	ovn_cooking_cost	
