ancillaries_included_agent_subtypes_tables	0
agent_subtype	ancillary
arb_vizier_fire_0	wh_main_anc_mount_arb_vizier_fire_camel
arb_vizier_fire_0	wh_main_anc_mount_arb_vizier_fire_carpet
arb_vizier_life_0	wh_main_anc_mount_arb_vizier_life_camel
arb_vizier_life_0	wh_main_anc_mount_arb_vizier_life_carpet
arb_vizier_heavens_0	wh_main_anc_mount_arb_vizier_heavens_camel
arb_vizier_heavens_0	wh_main_anc_mount_arb_vizier_heavens_carpet
arb_vizier_desert_0	wh_main_anc_mount_arb_vizier_desert_camel
arb_vizier_desert_0	wh_main_anc_mount_arb_vizier_desert_carpet
arb_vizier_fire_0	rattlesnake_staff
arb_vizier_fire_0	Talisman
arb_vizier_life_0	rattlesnake_staff
arb_vizier_life_0	Talisman
arb_vizier_heavens_0	rattlesnake_staff
arb_vizier_heavens_0	Talisman
arb_vizier_desert_0	rattlesnake_staff
arb_vizier_desert_0	Talisman
