names_tables	1
names_group	type	gender	frequency	id
111	forename	m	1	858211990
111	forename	m	1	858211991
111	forename	m	1	858211992
111	forename	m	1	858211993
111	forename	m	1	858211994
111	forename	m	1	858211995
111	forename	m	1	858211996
111	forename	m	1	858211997
111	forename	m	1	858211998
111	forename	m	1	858211999
111	forename	m	1	858212000
111	forename	m	1	858212001
111	forename	m	1	858212002
111	forename	m	1	858212003
111	forename	m	1	858212004
111	forename	m	1	858212005
111	forename	m	1	858212006
111	forename	m	1	858212007
111	forename	m	1	858212008
111	forename	m	1	858212009
111	forename	m	1	858212010
111	forename	m	1	858212011
111	forename	m	1	858212012
111	forename	m	1	858212013
111	forename	m	1	858212014
111	forename	m	1	858212015
111	forename	m	1	858212016
111	forename	m	1	858212017
111	forename	m	1	858212018
111	forename	m	1	858212019
111	forename	m	1	858212020
111	forename	m	1	858212021
111	forename	m	1	858212022
111	forename	m	1	858212023
111	forename	m	1	858212024
111	forename	m	1	858212025
111	forename	m	1	858212026
111	forename	m	1	858212027
111	forename	m	1	858212028
111	forename	m	1	858212029
111	forename	m	1	858212030
111	forename	m	1	858212031
111	forename	m	1	858212032
111	forename	m	1	858212033
111	forename	m	1	858212034
111	forename	m	1	858212035
111	forename	m	1	858212036
111	forename	m	1	858212037
111	forename	m	1	858212038
111	forename	m	1	858212039
111	forename	m	1	858212040
111	forename	m	1	858212041
111	forename	m	1	858212042
111	forename	m	1	858212043
111	family_name	m	1	858212044
111	family_name	m	1	858212045
111	family_name	m	1	858212046
111	family_name	m	1	858212047
111	family_name	m	1	858212048
111	family_name	m	1	858212049
111	family_name	m	1	858212050
111	family_name	m	1	858212051
111	family_name	m	1	858212052
111	family_name	m	1	858212053
111	family_name	m	1	858212054
111	family_name	m	1	858212055
111	family_name	m	1	858212056
111	family_name	m	1	858212057
111	family_name	m	1	858212058
111	family_name	m	1	858212059
111	family_name	m	1	858212060
111	family_name	m	1	858212061
111	family_name	m	1	858212062
111	family_name	m	1	858212063
111	family_name	m	1	858212064
111	family_name	m	1	858212065
111	family_name	m	1	858212066
111	family_name	m	1	858212067
111	family_name	m	1	858212068
111	family_name	m	1	858212069
111	family_name	m	1	858212070
111	family_name	m	1	858212071
111	family_name	m	1	858212072
111	family_name	m	1	858212073
111	family_name	m	1	858212074
111	family_name	m	1	858212075
111	family_name	m	1	858212076
111	family_name	m	1	858212077
111	family_name	m	1	858212078
111	family_name	m	1	858212079
111	family_name	m	1	858212080
111	family_name	m	1	858212081
111	family_name	m	1	858212082
111	family_name	m	1	858212083
111	family_name	m	1	858212084
111	family_name	m	1	858212085
111	family_name	m	1	858212086
111	family_name	m	1	858212087
111	family_name	m	1	858212088
111	family_name	m	1	858212089
111	family_name	m	1	858212090
111	family_name	m	1	858212091
111	family_name	m	1	858212092
111	family_name	m	1	858212093
111	family_name	m	1	858212094
111	family_name	m	1	858212095
111	family_name	m	1	858212096
111	family_name	m	1	858212097
111	family_name	m	1	858212098
111	family_name	m	1	858212099
