building	culture	subculture	faction	description	icon	disables	short_description	display_tooltip
#building_culture_variants_tables;4;db/building_culture_variants_tables/!ovn_halflings								
ovn_hlf_resource_salt_1			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	empire_brine	false	ovn_hlf_resource_salt_1	true
ovn_hlf_resource_salt_2			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	empire_brine	false	ovn_hlf_resource_salt_2	true
ovn_hlf_resource_salt_3			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	empire_brine	false	ovn_hlf_resource_salt_3	true
wh_main_emp_resource_salt_1			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	empire_brine	true	wh_main_emp_resource_salt_1	true
wh_main_emp_resource_salt_2			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	empire_brine	true	wh_main_emp_resource_salt_2	true
wh_main_emp_resource_salt_3			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	empire_brine	true	wh_main_emp_resource_salt_3	true
ovn_Animal_Rearing_1			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	ovn_barnyard	false	ovn_Animal_Rearing_1	true
ovn_Animal_Rearing_2			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	ovn_barnyard	false	ovn_Animal_Rearing_2	true
ovn_half_industry_1			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	ovn_tobacco	false	ovn_cig_1	true
ovn_half_industry_2			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	ovn_tobacco	false	ovn_cig_2	true
ovn_half_industry_3			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	ovn_tobacco	false	ovn_cig_3	true
ovn_half_dragon			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	wood_elves_dragon	false	ovn_half_dragon	true
ovn_half_barracks_1	wh_main_emp_empire	wh_main_sc_emp_empire	wh2_main_emp_the_moot	wh_main_PLACEHOLDER	empire_barracks	false	wh_main_emp_barracks_1	true
ovn_half_barracks_2	wh_main_emp_empire	wh_main_sc_emp_empire	wh2_main_emp_the_moot	wh_main_PLACEHOLDER	empire_barracks	false	wh_main_emp_barracks_2	true
ovn_half_barracks_3	wh_main_emp_empire	wh_main_sc_emp_empire	wh2_main_emp_the_moot	wh_main_PLACEHOLDER	empire_barracks	false	wh_main_emp_barracks_3	true
ovn_half_forges_1	wh_main_emp_empire	wh_main_sc_emp_empire	wh2_main_emp_the_moot	wh_main_PLACEHOLDER	ovn_hotpot	false	ovn_kath	true
ovn_half_tavern_1	wh_main_emp_empire	wh_main_sc_emp_empire	wh2_main_emp_the_moot	wh_main_PLACEHOLDER	empire_tavern	false	ovn_food_1	true
ovn_half_tavern_2	wh_main_emp_empire	wh_main_sc_emp_empire	wh2_main_emp_the_moot	wh_main_PLACEHOLDER	empire_tavern	false	ovn_food_2	true
ovn_half_tavern_3	wh_main_emp_empire	wh_main_sc_emp_empire	wh2_main_emp_the_moot	wh_main_PLACEHOLDER	empire_tavern	false	ovn_food_3	true
wh_main_emp_industry_basic_1	wh_main_emp_empire	wh_main_sc_emp_empire	wh2_main_emp_the_moot	wh_main_PLACEHOLDER	ovn_tobacco	true	ovn_cig_1	true
wh_main_emp_industry_basic_2	wh_main_emp_empire	wh_main_sc_emp_empire	wh2_main_emp_the_moot	wh_main_PLACEHOLDER	ovn_tobacco	true	ovn_cig_2	true
wh_main_emp_industry_basic_3	wh_main_emp_empire	wh_main_sc_emp_empire	wh2_main_emp_the_moot	wh_main_PLACEHOLDER	ovn_tobacco	true	ovn_cig_3	true
wh_main_emp_wizards_2	wh_main_emp_empire	wh_main_sc_emp_empire	wh2_main_emp_the_moot	wh_main_PLACEHOLDER	wood_elves_laurelorn	true	wh_dlc05_wef_walls_1	true
wh_main_emp_forges_1			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	ovn_hotpot	true	ovn_kath	true
wh_main_emp_forges_2			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	empire_forge	true	ovn_kath2	true
wh_main_emp_forges_3			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	empire_forge	true	wh_main_emp_forges_1	true
wh_main_emp_stables_1			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	empire_stables	true	wh_main_emp_stables_2	true
wh_main_emp_stables_2			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	empire_stables	true	wh_main_emp_stables_2	true
wh_main_emp_stables_3			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	empire_stables	true	wh_main_emp_stables_2	true
wh_main_emp_smiths_1			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	empire_armourer	true	wh_main_emp_smiths_1	true
wh_main_emp_smiths_2			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	empire_armourer	true	wh_main_emp_smiths_2	true
wh2_main_emp_academy_1			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	wh_main_emp_academy	true	wh2_main_emp_academy_1	true
wh_main_emp_worship_1			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	empire_imperial_cult	false	wh_main_emp_worship_1	true
wh_main_emp_worship_2			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	empire_imperial_cult	true	wh_main_emp_worship_2	true
wh_main_emp_worship_3			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	empire_imperial_cult	true	wh_main_emp_worship_3	true
ovn_hlf_welf_1			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	wood_elves_laurelorn	false	ovn_hlf_welf	true
ovn_hlf_welf_2			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	wood_elves_laurelorn	false	ovn_hlf_welf	true
ovn_hlf_welf_3			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	wood_elves_laurelorn	false	ovn_hlf_welf	true
ovn_hlf_cig			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	hlf_pipe	false	ovn_hlf_cig	true
wh_main_emp_wizards_1			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	empire_mages	false	wh_main_emp_wizards_1	true
ovn_half_smiths_1			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	empire_armourer	false	ovn_half_smiths_1	true
ovn_half_smiths_2			wh2_main_emp_the_moot	wh_main_PLACEHOLDER	empire_armourer	false	ovn_half_smiths_2	true
