ancillary_included_subcultures_tables	0
ancillary	subculture
wh2_dlc11_anc_mount_emp_boris_todbringer_imperial_griffon	wh_main_sc_emp_araby
wh2_dlc11_anc_mount_emp_boris_todbringer_imperial_pegasus	wh_main_sc_emp_araby
wh2_dlc13_anc_weapon_amber_bow	wh_main_sc_emp_araby
wh2_dlc13_anc_weapon_runefang_averland	wh_main_sc_emp_araby
wh2_dlc13_anc_weapon_runefang_drakwald	wh_main_sc_emp_araby
wh2_dlc13_anc_weapon_runefang_hochland	wh_main_sc_emp_araby
wh2_dlc13_anc_weapon_runefang_middenland	wh_main_sc_emp_araby
wh2_dlc13_anc_weapon_runefang_nordland	wh_main_sc_emp_araby
wh2_dlc13_anc_weapon_runefang_ostermark	wh_main_sc_emp_araby
wh2_dlc13_anc_weapon_runefang_ostland	wh_main_sc_emp_araby
wh2_dlc13_anc_weapon_runefang_reikland	wh_main_sc_emp_araby
wh2_dlc13_anc_weapon_runefang_solland	wh_main_sc_emp_araby
wh2_dlc13_anc_weapon_runefang_stirland	wh_main_sc_emp_araby
wh2_dlc13_anc_weapon_runefang_talabecland	wh_main_sc_emp_araby
wh2_dlc13_anc_weapon_runefang_wissenland	wh_main_sc_emp_araby
wh_dlc04_anc_mount_emp_volkmar_the_grim_altar_of_sigmar	wh_main_sc_emp_araby
wh_dlc04_anc_talisman_jade_griffon	wh_main_sc_emp_araby
wh_dlc04_anc_weapon_staff_of_command	wh_main_sc_emp_araby
wh_dlc05_anc_mount_emp_grey_wizard_barded_warhorse	wh_main_sc_emp_araby
wh_dlc05_anc_mount_emp_grey_wizard_imperial_pegasus	wh_main_sc_emp_araby
wh_dlc05_anc_mount_emp_grey_wizard_warhorse	wh_main_sc_emp_araby
wh_dlc05_anc_mount_emp_jade_wizard_barded_warhorse	wh_main_sc_emp_araby
wh_dlc05_anc_mount_emp_jade_wizard_imperial_pegasus	wh_main_sc_emp_araby
wh_dlc05_anc_mount_emp_jade_wizard_warhorse	wh_main_sc_emp_araby
wh_main_anc_arcane_item_staff_of_volans	wh_main_sc_emp_araby
wh_main_anc_armour_the_armour_of_meteoric_iron	wh_main_sc_emp_araby
wh_main_anc_enchanted_item_cloak_of_molten_metal	wh_main_sc_emp_araby
wh_main_anc_enchanted_item_van_horstmanns_speculum	wh_main_sc_emp_araby
wh_main_anc_follower_all_hedge_wizard	wh_main_sc_emp_araby
wh_main_anc_follower_all_men_bailiff	wh_main_sc_emp_araby
wh_main_anc_follower_all_men_boatman	wh_main_sc_emp_araby
wh_main_anc_follower_all_men_bodyguard	wh_main_sc_emp_araby
wh_main_anc_follower_all_men_bounty_hunter	wh_main_sc_emp_araby
wh_main_anc_follower_all_men_fisherman	wh_main_sc_emp_araby
wh_main_anc_follower_all_men_grave_robber	wh_main_sc_emp_araby
wh_main_anc_follower_all_men_initiate	wh_main_sc_emp_araby
wh_main_anc_follower_all_men_kislevite_kossar	wh_main_sc_emp_araby
wh_main_anc_follower_all_men_mercenary	wh_main_sc_emp_araby
wh_main_anc_follower_all_men_militiaman	wh_main_sc_emp_araby
wh_main_anc_follower_all_men_ogres_pit_fighter	wh_main_sc_emp_araby
wh_main_anc_follower_all_men_outlaw	wh_main_sc_emp_araby
wh_main_anc_follower_all_men_outrider	wh_main_sc_emp_araby
wh_main_anc_follower_all_men_protagonist	wh_main_sc_emp_araby
wh_main_anc_follower_all_men_rogue	wh_main_sc_emp_araby
wh_main_anc_follower_all_men_servant	wh_main_sc_emp_araby
wh_main_anc_follower_all_men_smuggler	wh_main_sc_emp_araby
wh_main_anc_follower_all_men_soldier	wh_main_sc_emp_araby
wh_main_anc_follower_all_men_thug	wh_main_sc_emp_araby
wh_main_anc_follower_all_men_tollkeeper	wh_main_sc_emp_araby
wh_main_anc_follower_all_men_tomb_robber	wh_main_sc_emp_araby
wh_main_anc_follower_all_men_vagabond	wh_main_sc_emp_araby
wh_main_anc_follower_all_men_valet	wh_main_sc_emp_araby
wh_main_anc_follower_all_men_zealot	wh_main_sc_emp_araby
wh_main_anc_follower_all_student	wh_main_sc_emp_araby
wh_main_anc_follower_empire_agitator	wh_main_sc_emp_araby
wh_main_anc_follower_empire_apprentice_wizard	wh_main_sc_emp_araby
wh_main_anc_follower_empire_barber_surgeon	wh_main_sc_emp_araby
wh_main_anc_follower_empire_bone_picker	wh_main_sc_emp_araby
wh_main_anc_follower_empire_burgher	wh_main_sc_emp_araby
wh_main_anc_follower_empire_camp_follower	wh_main_sc_emp_araby
wh_main_anc_follower_empire_charcoal_burner	wh_main_sc_emp_araby
wh_main_anc_follower_empire_coachman	wh_main_sc_emp_araby
wh_main_anc_follower_empire_entertainer	wh_main_sc_emp_araby
wh_main_anc_follower_empire_estalian_diestro	wh_main_sc_emp_araby
wh_main_anc_follower_empire_ferryman	wh_main_sc_emp_araby
wh_main_anc_follower_empire_hunter	wh_main_sc_emp_araby
wh_main_anc_follower_empire_jailer	wh_main_sc_emp_araby
wh_main_anc_follower_empire_light_college_acolyte	wh_main_sc_emp_araby
wh_main_anc_follower_empire_marine	wh_main_sc_emp_araby
wh_main_anc_follower_empire_messenger	wh_main_sc_emp_araby
wh_main_anc_follower_empire_noble	wh_main_sc_emp_araby
wh_main_anc_follower_empire_peasant	wh_main_sc_emp_araby
wh_main_anc_follower_empire_rat_catcher	wh_main_sc_emp_araby
wh_main_anc_follower_empire_road_warden	wh_main_sc_emp_araby
wh_main_anc_follower_empire_scribe	wh_main_sc_emp_araby
wh_main_anc_follower_empire_seaman	wh_main_sc_emp_araby
wh_main_anc_follower_empire_thief	wh_main_sc_emp_araby
wh_main_anc_follower_empire_tradesman	wh_main_sc_emp_araby
wh_main_anc_follower_empire_watchman	wh_main_sc_emp_araby
wh_main_anc_follower_empire_woodsman	wh_main_sc_emp_araby
wh_main_anc_follower_halfling_fieldwarden	wh_main_sc_emp_araby
wh_main_anc_magic_standard_griffon_banner	wh_main_sc_emp_araby
wh_main_anc_magic_standard_steel_standard	wh_main_sc_emp_araby
wh_main_anc_mount_emp_balthasar_imperial_pegasus	wh_main_sc_emp_araby
wh_main_anc_mount_emp_bright_wizard_barded_warhorse	wh_main_sc_emp_araby
wh_main_anc_mount_emp_bright_wizard_warhorse	wh_main_sc_emp_araby
wh_main_anc_mount_emp_captain_barded_warhorse	wh_main_sc_emp_araby
wh_main_anc_mount_emp_captain_imperial_pegasus	wh_main_sc_emp_araby
