character_skill	character_skill_node	level
#character_skill_nodes_skill_locks_tables;0;db/character_skill_nodes_skill_locks_tables/elo_albion		
sessair_leader	elo_warleader_tribes_03	1
sessair_leader	elo_warleader_tribes_05	1
sessair_leader	elo_warleader_tribes_07	1
fir_leader	elo_warleader_tribes_01	1
fir_leader	elo_warleader_tribes_05	1
fir_leader	elo_warleader_tribes_07	1
filian_leader	elo_warleader_tribes_03	1
filian_leader	elo_warleader_tribes_01	1
filian_leader	elo_warleader_tribes_07	1
finian_leader	elo_warleader_tribes_03	1
finian_leader	elo_warleader_tribes_05	1
finian_leader	elo_warleader_tribes_01	1
teachings_old_ones	truthsayer_unique_07	1
oral_tradition	truthsayer_unique_06	1
swamp_monsters	truthsayer_unique_09	1
ancient_allies	truthsayer_unique_08	1
teachings_old_ones	truthsayer_unique_07_light	1
oral_tradition	truthsayer_unique_06_light	1
swamp_monsters	truthsayer_unique_09_light	1
ancient_allies	truthsayer_unique_08_light	1
teachings_old_ones	truthsayer_unique_07_life	1
oral_tradition	truthsayer_unique_06_life	1
swamp_monsters	truthsayer_unique_09_life	1
ancient_allies	truthsayer_unique_08_life	1
teachings_old_ones	truthsayer_unique_07_truth	1
oral_tradition	truthsayer_unique_06_truth	1
swamp_monsters	truthsayer_unique_09_truth	1
ancient_allies	truthsayer_unique_08_truth	1
chief_hunter	albion_chief_unique_2	1
chief_hunter	albion_chief_unique_3	1
chief_leader	albion_chief_unique_1	1
chief_leader	albion_chief_unique_3	1
chief_bodyguard	albion_chief_unique_2	1
chief_bodyguard	albion_chief_unique_1	1
warrior_shaman	wyrd_unique_05	1
warrior_shaman	wyrd_unique_06	1
wyrd_spellbinder	wyrd_unique_06	1
wyrd_spellbinder	wyrd_unique_04	1
wyrd_channeler	wyrd_unique_05	1
wyrd_channeler	wyrd_unique_04	1
