units_to_exclusive_faction_permissions_tables	0
key	faction	allowed
elo_tomb_guardian	wh2_dlc09_tmb_the_sentinels	true
elo_tomb_guardian_2h_waepons	wh2_dlc09_tmb_the_sentinels	true
elo_tomb_guardian_spears	wh2_dlc09_tmb_the_sentinels	true
elo_liche_general	wh2_dlc09_tmb_the_sentinels	true
elo_tomb_guardian_archers	wh2_dlc09_tmb_the_sentinels	true
elo_dread_larenscheld	wh2_dlc09_tmb_the_sentinels	true
elo_dread_centurion	wh2_dlc09_tmb_the_sentinels	true
elo_dread_centurion_horse	wh2_dlc09_tmb_the_sentinels	true
elo_dread_centurion_barded_horse	wh2_dlc09_tmb_the_sentinels	true
ovn_dkl_mon_skeleton_giant	wh2_dlc09_tmb_the_sentinels	true
elo_dread_mummy	wh2_dlc09_tmb_the_sentinels	true
