id	duration	effect_type	requested_stance	unbreakable	cant_move	freeze_fatigue	fatigue_change_ratio	inspiration_aura_range_mod	ability_recharge_change	hp_change_frequency	heal_amount_duplicate	damage_chance	damage_amount	max_damaged_entities	heal_amount	resurrect	mana_regen_mod	mana_max_depletion_mod	imbue_magical	imbue_ignition	imbue_contact	phase_display	phase_audio	recharge_time	is_hidden_in_ui	affects_allies	affects_enemies	replenish_ammo	composite_scene_group
#special_ability_phases_tables;35;db/special_ability_phases_tables/elo_troll																													
horrible_stench	-1.0	negative		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh2_main_character_passive_aura_of_pestilence		-1.0	false	false	true	0.0	
rock_solid	-1.0	positive		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	0	0	false	0.0	0.0	false	0		wh_main_spell_metal_glittering_robe		-1.0	false	true	false	0.0	
death_stench	-1.0	negative		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh2_main_character_passive_aura_of_pestilence		-1.0	false	false	true	0.0	
run_and_shakeoff	30.0	positive		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh2_dlc10_waaagh		-1.0	false	true	true	0.0	
order_protect	-1.0	positive		false	false	false	0.0	0.0	60000.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh_main_generic_ward_save_all	wh_ability_positive	-1.0	false	true	true	0.0	
order_squish	-1.0	positive		false	false	false	0.0	0.0	60000.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh_main_generic_buff_attack_passive		-1.0	false	true	false	0.0	
order_aim_higher	-1.0	positive		false	false	false	0.0	0.0	60000.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh_main_generic_buff_attack_passive		-1.0	false	true	false	0.0	
order_catch	-1.0	positive		false	false	true	0.0	0.0	60000.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh_main_generic_buff_attack_passive		-1.0	false	true	false	0.0	
difficult_to_spot	-1.0	positive		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	0	0	false	0.0	0.0	false	0		wh_main_generic_buff_attack_passive		-1.0	false	true	false	0.0	
stunted_regeneration	-1.0	positive		false	false	false	0.0	0.0	0.0	0.5	1	0.0	0	0	1	false	0.0	0.0	false	0				-1.0	false	true	true	0.0	
sickness_host	-1.0	negative		false	false	false	0.2	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh2_main_character_passive_aura_of_pestilence		-1.0	false	true	true	0.0	
temper_tantrum	40.0	positive		true	false	false	-0.3	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0				-1.0	false	true	true	0.0	
warpstone_solid	-1.0	positive		true	false	false	0.0	0.0	0.0	0.0	0	0.0	0	0	0	false	0.0	0.0	false	0		wh_main_spell_metal_glittering_robe		-1.0	false	true	false	0.0	
contact_anchored	10.0	negative		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	0	0	false	0.0	0.0	false	0				-1.0	false	false	true	0.0	
elo_troll_me_boss_now	-1.0	positive		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh_main_generic_buff_morale		-1.0	false	true	true	0.0	
elo_violent_command	-1.0	positive		true	false	false	0.0	0.0	0.0	1.0	0	0.18	6	18	0	false	0.0	0.0	false	0		wh_main_generic_buff_morale		-1.0	false	true	true	0.0	
