key	requires_effect_enabling	icon_name	overpower_option	type	video	uniqueness	is_unit_upgrade	is_hidden_in_ui	source_type	superseded_abilities_set	is_hidden_in_ui_for_enemy
#unit_abilities_tables;16;db/unit_abilities_tables/ovn_grudge											
grudge_character_abilities_volley_of_high_arrows	true	wh2_main_character_abilities_volley_of_high_arrows		wh_type_magic_missiles		wh_main_anc_group_uncommon	true	false	hero		false
grudge_character_abilities_volley_of_dark_arrows	true	wh2_main_character_abilities_volley_of_dark_arrows		wh_type_magic_missiles		wh_main_anc_group_uncommon	true	false	hero		false
grudge_hero_abilities_arrow_of_kurnous	true	wh_dlc05_hero_abilities_arrow_of_kurnous		wh_type_magic_missiles		wh_main_anc_group_uncommon	true	false	hero		false
grudge_hero_abilities_shrapnel_shot	false	grudge_shrapnel_large		wh_type_explosion		wh_main_anc_group_uncommon	true	false	unit		false
grudge_hero_abilities_pepperpot	false	grudge_pepperpot_large		wh_type_explosion		wh_main_anc_group_uncommon	true	false	unit		false
spell_ice_shield_of_cold	true	grudge_shield_of_ice_large	spell_ice_shield_of_cold_upgraded	wh_type_augment	spell_previews/heaven/wh_main_spell_heavens_harmonic_convergence	wh_main_anc_group_common	true	false	spell		false
spell_ice_shield_of_cold_upgraded	true	grudge_shield_of_ice_large		wh_type_augment	spell_previews/heaven/wh_main_spell_heavens_harmonic_convergence	wh_main_anc_group_common	true	false	spell		false
spell_ice_frost_blade	true	grudge_frost_sword_large	spell_ice_frost_blade_upgraded	wh_type_augment	spell_previews/heaven/wh_main_spell_heavens_harmonic_convergence	wh_main_anc_group_common	true	false	spell		false
spell_ice_frost_blade_upgraded	true	grudge_frost_sword_large		wh_type_augment	spell_previews/heaven/wh_main_spell_heavens_harmonic_convergence	wh_main_anc_group_common	true	false	spell		false
spell_ice_crisping_cold	true	grudge_crisping_cold_large	spell_ice_crisping_cold_upgraded	wh_type_augment	spell_previews/heaven/wh_main_spell_heavens_harmonic_convergence	wh_main_anc_group_common	true	false	spell		false
spell_ice_crisping_cold_upgraded	true	grudge_crisping_cold_large		wh_type_augment	spell_previews/heaven/wh_main_spell_heavens_harmonic_convergence	wh_main_anc_group_common	true	false	spell		false
spell_ice_shattering_frost	true	grudge_shattering_frost_large	spell_ice_shattering_frost_upgraded	wh_type_augment	spell_previews/heaven/wh_main_spell_heavens_curse_of_the_midnight_wind	wh_main_anc_group_common	true	false	spell		false
spell_ice_shattering_frost_upgraded	true	grudge_shattering_frost_large		wh_type_augment	spell_previews/heaven/wh_main_spell_heavens_curse_of_the_midnight_wind	wh_main_anc_group_common	true	false	spell		false
spell_ice_chill	true	grudge_chill_large	spell_ice_chill_upgraded	wh_type_augment	spell_previews/heaven/wh_main_spell_heavens_curse_of_the_midnight_wind	wh_main_anc_group_common	true	false	spell		false
spell_ice_chill_upgraded	true	grudge_chill_large		wh_type_augment	spell_previews/heaven/wh_main_spell_heavens_curse_of_the_midnight_wind	wh_main_anc_group_common	true	false	spell		false
lore_passive_ice_cold	true	grudge_lore_cold_witchering_large		wh_type_area_of_hexes		wh_main_anc_group_common	true	false	lore		false
spell_ice_blinding_blizzard	true	grudge_blinding_blizzard_large	spell_ice_blinding_blizzard_upgraded	wh_type_augment	spell_previews/heaven/wh_main_spell_heavens_curse_of_the_midnight_wind	wh_main_anc_group_common	true	false	spell		false
spell_ice_blinding_blizzard_upgraded	true	grudge_blinding_blizzard_large		wh_type_augment	spell_previews/heaven/wh_main_spell_heavens_curse_of_the_midnight_wind	wh_main_anc_group_common	true	false	spell		false
