faction	unit	name	variant	unit_card
#unit_variants_tables;5;db/unit_variants_tables/ovn_fimir				
	ovn_death_quest	ovn_death_quest	ovn_death_quest	ovn_death_quest
	ovn_mistmor	ovn_mistmor	ovn_mistmor	ovn_mistmor
	ovn_killing_eye	ovn_killing_eye	ovn_killing_eye	ovn_killing_eye
	ovn_shearl	ovn_shearl	ovn_shearl	ovn_shearl
	ovn_gharnus_demon	ovn_gharnus_demon	ovn_gharnus_demon	ovn_gharnus_demon
	ovn_fim_cav_bog_beast_riders_0	ovn_fim_cav_bog_beast_riders_0	ovn_fim_bog_beast_rider	ovn_fim_bog_beast
	ovn_boglar	ovn_boglar	ovn_boglar	ovn_boglar
	ovn_zoat	ovn_zoat	ovn_zoat	ovn_zoat
	aky_chief_fimir_great_weapons_0	aky_chief_fimir_great_weapons_0	aky_chief_fimir_great_weapons_0	aky_chief_fimir_great_weapons_0
	ovn_fim_mon_caster_0	ovn_fim_mon_caster_0	ovn_fim_caster_0	ovn_fim_caster_0
	ovn_fim_mon_javelin_0	ovn_fim_mon_javelin_0	ovn_fim_javelin_0	ovn_fim_javelin_0
	ovn_marsh_hounds	ovn_marsh_hounds	ovn_marsh_hounds	ovn_hounds
	wh_dlc08_nor_cha_fimir_balefiend_beast	wh_dlc08_nor_cha_fimir_balefiend_beast	wh_dlc08_nor_fimir_balefiend	a_character_placeholder
	wh_dlc08_nor_cha_fimir_balefiend_death	wh_dlc08_nor_cha_fimir_balefiend_death	wh_dlc08_nor_fimir_balefiend	a_character_placeholder
	fim_meargh_skattach	fim_meargh_skattach	fim_meargh_skattach	fim_meargh_skattach
	kho_bloodletter_summon	kho_bloodletter_summon	kho_bloodletter	kho_bloodletter
	ovn_fimir_warriors	ovn_fimir_warriors	ovn_fimm_warriors	ovn_fianna_fimm
	ovn_fimir_warriors_great_weapons	ovn_fimir_warriors_great_weapons	ovn_fimm_warriors_great_weapons	ovn_fimm
	ovn_fimir_dirach_fire	ovn_fimir_dirach_fire	ovn_dirach	placeholder
	ovn_fimir_dirach_shadow	ovn_fimir_dirach_shadow	ovn_dirach	placeholder
	ovn_fimir_dirach_beast	ovn_fimir_dirach_beast	ovn_dirach	placeholder
	ovn_fimir_dirach_death	ovn_fimir_dirach_death	ovn_dirach	placeholder
	ovn_finmor	ovn_finmor	ovn_finmor	placeholder
	ovn_fianna_fimm	ovn_fianna_fimm	wh_dlc08_nor_fimir_axe	wh_dlc08_nor_fimir_warriors
	ovn_fimm	ovn_fimm	wh_dlc08_nor_fimir_great_weapons	wh_dlc08_nor_fimir_warriors_great_weapons
	ovn_nuckelavee	ovn_nuckelavee	fim_nuckelavee	ovn_nuckelavee
	ovn_daemonomaniac	ovn_daemonomaniac	fim_daemonomaniac	ovn_daemonomaniac
	ovn_swamp_daemons	ovn_swamp_daemons	fim_swamp_daemon	ovn_swamp_daemons
	ovn_eye_oculus	ovn_eye_oculus	fim_eye_tyrant	ovn_eye_oculus
	ovn_daemonomaniac_ror	ovn_daemonomaniac_ror	ovn_daemonomaniac_ror	ovn_daemonomaniac_ror
	ovn_marsh_hornets_ror	ovn_marsh_hornets_ror	ovn_marsh_hornets_ror	ovn_fim_bog_beast
	ovn_moor_hounds_ror	ovn_moor_hounds_ror	ovn_moor_hounds_ror	ovn_moor_hounds_ror
	ovn_swamp_daemons_summon	ovn_swamp_daemons	fim_swamp_daemon	ovn_swamp_daemons
