effect_bonus_value_subculture_junctions_tables	0
bonus_value_id	effect	subculture
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_dlc09_sc_tmb_tomb_kings
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_abominations
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_beastcatchas
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_bernhoffs_brigands
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_black_spider_tribe
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_boneclubbers_tribe
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_celestial_storm
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_college_of_pyrotechnics
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_doomseekers
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_gerhardts_mercenaries
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_heirs_of_mourkain
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_hung_warband
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_hunters_of_kurnous
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_jerrods_errantry
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_mangy_houndz
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_mengils_manflayers
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_morrsliebs_howlers
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_pirates_of_the_far_sea
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_pirates_of_the_southern_ocean
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_pirates_of_trantio
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_scions_of_tesseninck
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_scourge_of_aquitaine
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_stuff_snatchers
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_teef_snatchaz
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_the_wandering_dead
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_tor_elithis
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_troll_skullz
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_vashnaar
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_vauls_expedition
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_worldroot_rangers
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_rogue_wrath_of_nature
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_sc_def_dark_elves
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_sc_hef_high_elves
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh2_main_sc_lzd_lizardmen
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh_dlc03_sc_bst_beastmen
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh_dlc05_sc_wef_wood_elves
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh_main_sc_brt_bretonnia
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh_main_sc_chs_chaos
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh_main_sc_dwf_dwarfs
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh_main_sc_emp_empire
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh_main_sc_grn_greenskins
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh_main_sc_grn_savage_orcs
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh_main_sc_ksl_kislev
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh_main_sc_nor_norsca
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh_main_sc_teb_teb
diplomatic_mod	ovn_faction_political_diplomacy_mod_all_except_fester	wh_main_sc_vmp_vampire_counts
