battle_animations_table	culture_pack
#culture_to_battle_animation_tables_tables;0;db/culture_to_battle_animation_tables_tables/ovn_rotblood	
hu10b_harpy	wh_main_chs_chaos
wm_blood_cauldron01	wh_main_chs_chaos
bi1_eagle	wh_main_chs_chaos
bi3_terradon	wh_main_chs_chaos
skv1_weapon_team01	wh_main_chs_chaos
bo1_razorgor	wh_main_chs_chaos
dr1_dragon	wh_main_chs_chaos
hr1_warhorse	wh_main_chs_chaos
hu1_paladin_hr1_warhorse_lance_sword_shield	wh_main_chs_chaos
hu1_paladin_sword_and_shield	wh_main_chs_chaos
hu3_dragonfire_axe_and_shield	wh_main_chs_chaos
hu1_fire_hr1_warhorse_staff_and_sword	wh_main_chs_chaos
hu1_fire_staff_and_sword	wh_main_chs_chaos
bi2_wyvern	wh_main_chs_chaos
bi2_terrorgheist	wh_main_chs_chaos
wf1_dire_wolf	wh_main_chs_chaos
wm_carriage01	wh_main_chs_chaos
hu18_rat_ogre_claws	wh_main_chs_chaos
hu17_skaven_spear	wh_main_chs_chaos
hu17_skaven_sword	wh_main_chs_chaos
hu17_skaven_stormvermin_sword_and_shield	wh_main_chs_chaos
hu17_skaven_spear_and_shield	wh_main_chs_chaos
hu17_skaven_sword_and_shield	wh_main_chs_chaos
hu17_skaven_dual_sword	wh_main_chs_chaos
hu1c_chaos_hr1_chaos_steed_wb_staff_and_sword	wh_main_chs_chaos
hu1c_chaos_hr1_chaos_steed_wb_sword_and_shield	wh_main_chs_chaos
hu1c_chaos_hr1_chaos_steed_wb_lance_sword_and_shield	wh_main_chs_chaos
hu17_skaven_halberd	wh_main_chs_chaos
hu17_skaven_halberd_and_doomfire_rocket	wh_main_chs_chaos
