from	to
#building_upgrades_junction_tables;0;db/building_upgrades_junction_tables/jvj_ovn_araby	
ovn_arb_barracks_1	ovn_arb_barracks_2
ovn_arb_barracks_2	ovn_arb_barracks_3
ovn_arb_industry_basic_1	ovn_arb_industry_basic_2
ovn_arb_industry_basic_2	ovn_arb_industry_basic_3
ovn_arb_stables_1	ovn_arb_stables_2
ovn_arb_stables_2	ovn_arb_stables_3
ovn_arb_tavern_1	ovn_arb_tavern_2
ovn_arb_tavern_2	ovn_arb_tavern_3
ovn_arb_worship_1	ovn_arb_worship_2
ovn_araby_walls_1	ovn_araby_walls_2
ovn_araby_walls_2	ovn_araby_walls_3
ovn_araby_coffee_1	ovn_araby_coffee_2
ovn_araby_coffee_2	ovn_araby_coffee_3
