child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset
#technology_node_links_tables;2;db/technology_node_links_tables/elo_halfling						
elo_halfling_good_pots	elo_halfling_conscription	0	1	3	0.0	0.0
elo_halfling_farmer_tools	elo_halfling_good_pots	0	1	3	0.0	0.0
elo_halfling_training	elo_halfling_farmer_tools	0	1	3	0.0	0.0
elo_halfling_housewifes	elo_halfling_training	0	2	4	0.0	0.0
elo_halfling_farmer_tools_2	elo_halfling_farmer_tools	0	2	4	0.0	0.0
elo_halfling_borrowing	elo_halfling_fields	0	3	1	0.0	0.0
elo_halfling_tobacco_1	elo_halfling_borrowing	0	3	1	0.0	0.0
elo_halfling_trade_1	elo_halfling_tobacco_1	0	3	1	0.0	0.0
elo_halfling_tobacco_2	elo_halfling_tobacco_1	0	2	4	0.0	0.0
elo_halfling_trade_2	elo_halfling_trade_1	0	2	4	0.0	0.0
elo_halfling_doggos	elo_halfling_animals	0	1	3	0.0	0.0
elo_halfling_piggies	elo_halfling_doggos	0	1	3	0.0	0.0
elo_halfling_chicken	elo_halfling_piggies	0	1	3	0.0	0.0
elo_halfling_riders	elo_halfling_piggies	0	2	4	0.0	0.0
elo_halfling_cav	elo_halfling_chicken	0	2	4	0.0	0.0
elo_halfling_worship	elo_halfling_old_ones	0	3	1	0.0	0.0
elo_halfling_hyacinth	elo_halfling_worship	0	3	1	0.0	0.0
elo_halfling_quinsberry	elo_halfling_hyacinth	0	3	1	0.0	0.0
elo_halfling_josias	elo_halfling_hyacinth	0	2	4	0.0	0.0
elo_halfling_esmeralda	elo_halfling_quinsberry	0	2	4	0.0	0.0
elo_halfling_sheriff	elo_halfling_security	0	1	3	0.0	0.0
elo_halfling_thieves	elo_halfling_sheriff	0	1	3	0.0	0.0
elo_halfling_warden	elo_halfling_thieves	0	1	3	0.0	0.0
elo_halfling_thieves_2	elo_halfling_thieves	0	2	4	0.0	0.0
elo_halfling_warden_2	elo_halfling_warden	0	2	4	0.0	0.0
elo_halfling_hunters	elo_halfling_forest	0	3	1	0.0	0.0
elo_halfling_rangers	elo_halfling_hunters	0	3	1	0.0	0.0
elo_halfling_trees	elo_halfling_rangers	0	3	1	0.0	0.0
elo_halfling_ranged	elo_halfling_rangers	0	2	4	0.0	0.0
elo_halfling_better_trees	elo_halfling_trees	0	2	4	0.0	0.0
elo_halfling_hero_cooks	elo_halfling_cooking	0	1	3	0.0	0.0
elo_halfling_cooks_unit	elo_halfling_hero_cooks	0	1	3	0.0	0.0
elo_halfling_feast_carrier	elo_halfling_cooks_unit	0	1	3	0.0	0.0
elo_halfling_hot_pot	elo_halfling_cooks_unit	0	2	4	0.0	0.0
elo_halfling_chuck_wagons	elo_halfling_feast_carrier	0	2	4	0.0	0.0
elo_halfling_eagles	elo_halfling_unlikely_allies	0	3	1	0.0	0.0
elo_halfling_ogres	elo_halfling_eagles	0	3	1	0.0	0.0
elo_halfling_baby_dragon	elo_halfling_ogres	0	3	1	0.0	0.0
elo_halfling_ogres_2	elo_halfling_ogres	0	2	4	0.0	0.0
elo_halfling_monsters	elo_halfling_baby_dragon	0	2	4	0.0	0.0
elo_halfling_empire_support	elo_halfling_rights_movement	0	1	3	0.0	0.0
elo_halfling_empire_elite	elo_halfling_empire_support	0	1	3	0.0	0.0
elo_halfling_empire_heroes	elo_halfling_empire_elite	0	1	3	0.0	0.0
elo_halfling_empire_mages	elo_halfling_empire_elite	0	2	4	0.0	0.0
elo_halfling_empire_equipment	elo_halfling_empire_heroes	0	2	4	0.0	0.0
