culture_to_battle_animation_tables_tables	0
battle_animations_table	culture_pack
skv1_weapon_team02	wh_main_chs_chaos
skv1_dlc12_weapon_team03	wh_main_chs_chaos
hu17_dlc12_skaven_doomflayer_driver_01	wh_main_chs_chaos
hu17_dlc14_eshin_triad_naginata	wh_main_chs_chaos
skv2_dlc14_weapon_team_mortar01	wh_main_chs_chaos
skv1_dlc14_weapon_team_grinder01	wh_main_chs_chaos
rt1_dlc16_brood_horror	wh_main_chs_chaos
hu18_dlc16_mutant_rat_ogre	wh_main_chs_chaos
hu17_skaven_sword	wh_main_chs_chaos
hu17_skaven_sword_and_globe	wh_main_chs_chaos
hu17_skaven_eshin_dual_sword	wh_main_chs_chaos
hu17_skaven_monk_censer	wh_main_chs_chaos
hu17_skaven_dual_sword	wh_main_chs_chaos
skv1_weapon_team01	wh_main_chs_chaos
hc5_skv_hell_pit	wh_main_chs_chaos
wm_doomwheel_warp_lightning01	wh_main_chs_chaos
