mercenary_unit_groups_tables	2
chance_to_replenish	key	max_count	unit_record	use_partial_replenishment	max_replenish_per_turn
100.0	albion_shieldmaiden_ror	1	albion_shieldmaiden_ror	true	0.1
100.0	albion_bologs_giant_ror	1	albion_bologs_giant_ror	true	0.1
100.0	elo_fly_infested_rotwood	1	elo_fly_infested_rotwood	true	0.1
100.0	albion_woadraider_sworn_ror	1	albion_woadraider_sworn_ror	true	0.1
100.0	alb_cav_noble_first_ror	1	alb_cav_noble_first_ror	true	0.1
100.0	albion_warriors_lugh	1	albion_warriors_lugh	true	0.1
100.0	albion_huntresses_warden_ror	1	albion_huntresses_warden_ror	true	0.1
100.0	albion_centaur_hunter_ror	1	albion_centaur_hunter_ror	true	0.1
100.0	albion_cachtorr_stonethrower	1	albion_cachtorr_stonethrower	true	0.1
100.0	albion_highlander_ror	1	albion_highlander_ror	true	0.1
