ancillary	subculture
#ancillary_included_subcultures_tables;0;db/ancillary_included_subcultures_tables/obo_grudgebringers_data	
wh_main_anc_rune_rune_of_fury	wh_main_sc_emp_empire
wh_main_anc_rune_rune_of_might	wh_main_sc_emp_empire
wh_main_anc_rune_rune_of_parrying	wh_main_sc_emp_empire
wh_main_anc_rune_rune_of_striking	wh_main_sc_emp_empire
grudge_item_horn_of_urgok	wh_main_sc_emp_empire
grudge_item_grudgebringer_sword	wh_main_sc_emp_empire
grudge_item_hellfire_sword	wh_main_sc_emp_empire
grudge_item_storm_sword	wh_main_sc_emp_empire
grudge_item_runefang	wh_main_sc_emp_empire
grudge_item_enchanted_shield	wh_main_sc_emp_empire
grudge_item_shield_of_ptolos	wh_main_sc_emp_empire
grudge_item_spelleater_shield	wh_main_sc_emp_empire
grudge_item_dragonhelm	wh_main_sc_emp_empire
grudge_item_wand_of_jet	wh_main_sc_emp_empire
grudge_item_banner_of_arcane_warding	wh_main_sc_emp_empire
grudge_item_banner_of_wrath	wh_main_sc_emp_empire
grudge_item_banner_of_defiance	wh_main_sc_emp_empire
ovn_anc_magic_standard_ptolos	wh_main_sc_emp_empire
