member	subculture
#campaign_group_member_criteria_subcultures_tables;0;db/campaign_group_member_criteria_subcultures_tables/ovn_albion_sc	
ovn_albion_climate_chaotic	wh_main_sc_nor_albion
ovn_albion_climate_desert	wh_main_sc_nor_albion
ovn_albion_climate_frozen	wh_main_sc_nor_albion
ovn_albion_climate_island	wh_main_sc_nor_albion
ovn_albion_climate_jungle	wh_main_sc_nor_albion
ovn_albion_climate_magicforest	wh_main_sc_nor_albion
ovn_albion_climate_mountain	wh_main_sc_nor_albion
ovn_albion_climate_ocean	wh_main_sc_nor_albion
ovn_albion_climate_savannah	wh_main_sc_nor_albion
ovn_albion_climate_temperate	wh_main_sc_nor_albion
ovn_albion_climate_wasteland	wh_main_sc_nor_albion
wh_dlc10_feed_agent_action_shadow_walker_hinder_character_norsca	wh_main_sc_nor_albion
wh_event_feed_agent_action_all_failure_critical_hinder_army_norsca	wh_main_sc_nor_albion
wh_event_feed_agent_action_all_failure_critical_hinder_character_norsca	wh_main_sc_nor_albion
wh_event_feed_agent_action_all_failure_critical_hinder_province_norsca	wh_main_sc_nor_albion
wh_event_feed_agent_action_all_failure_hinder_army_norsca	wh_main_sc_nor_albion
wh_event_feed_agent_action_all_failure_hinder_character_norsca	wh_main_sc_nor_albion
wh_event_feed_agent_action_all_failure_hinder_province_norsca	wh_main_sc_nor_albion
wh_event_feed_agent_action_all_hinder_character_norsca	wh_main_sc_nor_albion
wh_event_feed_agent_action_all_success_critical_hinder_character_norsca	wh_main_sc_nor_albion
wh_event_feed_agent_action_champion_hinder_army_norsca	wh_main_sc_nor_albion
wh_event_feed_agent_action_champion_hinder_settlement_norsca	wh_main_sc_nor_albion
wh_event_feed_agent_action_champion_hinder_settlement_plague_priest_norsca	wh_main_sc_nor_albion
wh_event_feed_agent_action_champion_hinder_settlement_warlock_engineer_norsca	wh_main_sc_nor_albion
wh_event_feed_agent_action_dignitary_hinder_army_norsca	wh_main_sc_nor_albion
wh_event_feed_agent_action_dignitary_hinder_settlement_norsca	wh_main_sc_nor_albion
wh_event_feed_agent_action_engineer_hinder_settlement_norsca	wh_main_sc_nor_albion
wh_event_feed_agent_action_hinder_settlement_gain_influence_norsca	wh_main_sc_nor_albion
wh_event_feed_agent_action_spy_hinder_army_norsca	wh_main_sc_nor_albion
wh_event_feed_agent_action_spy_hinder_settlement_norsca	wh_main_sc_nor_albion
wh_event_feed_agent_action_wizard_hinder_army_norsca	wh_main_sc_nor_albion
wh_event_feed_cult_norsca	wh_main_sc_nor_albion
wh_event_feed_cult_norsca_attrition_desertion	wh_main_sc_nor_albion
wh_event_feed_cult_norsca_attrition_horde_infighting	wh_main_sc_nor_albion
wh_event_feed_cult_norsca_battle_attack_outcome_defeat	wh_main_sc_nor_albion
wh_event_feed_cult_norsca_battle_attack_outcome_draw	wh_main_sc_nor_albion
wh_event_feed_cult_norsca_battle_attack_outcome_victory	wh_main_sc_nor_albion
ovn_albion_alt_occupation_decision_treasure_hunt	wh_main_sc_nor_albion
ovn_albion_alt_occupation_decision_colonise	wh_main_sc_nor_albion
ovn_albion_alt_occupation_decision_do_nothing	wh_main_sc_nor_albion
ovn_albion_alt_occupation_decision_loot	wh_main_sc_nor_albion
ovn_albion_alt_occupation_decision_raze_without_occupy	wh_main_sc_nor_albion
ovn_albion_alt_occupation_decision_resettle	wh_main_sc_nor_albion
ovn_albion_alt_occupation_decision_sack	wh_main_sc_nor_albion
ovn_albion_alt_occupation_decision_occupy	wh_main_sc_nor_albion
wh_feature_nor_albion	wh_main_sc_nor_albion
