mercenary_pool_to_groups_junctions_tables	1
group	initial_unit_count	key	pool	faction_requirement	subculture_requirement	tech_requirement
albion_shieldmaiden_ror	1	917891023	albion_renown_pool	wh2_main_nor_albion		
albion_bologs_giant_ror	1	917891024	albion_renown_pool	wh2_main_nor_albion		
elo_fly_infested_rotwood	1	917891025	albion_renown_pool	wh2_main_nor_albion		
albion_woadraider_sworn_ror	1	917891026	albion_renown_pool	wh2_main_nor_albion		
alb_cav_noble_first_ror	1	917891027	albion_renown_pool	wh2_main_nor_albion		
albion_warriors_lugh	1	917891028	albion_renown_pool	wh2_main_nor_albion		
albion_huntresses_warden_ror	1	917891029	albion_renown_pool	wh2_main_nor_albion		
albion_centaur_hunter_ror	1	917891030	albion_renown_pool	wh2_main_nor_albion		
albion_cachtorr_stonethrower	1	917891031	albion_renown_pool	wh2_main_nor_albion		
albion_highlander_ror	1	917891032	albion_renown_pool	wh2_main_nor_albion		
