effect	icon	priority	icon_negative	category	is_positive_value_good
#effects_tables;3;db/effects_tables/ovn_new_effect					
wh_main_effect_agent_cap_increase_wizard_arb_1	agent.png	3	agent.png	campaign	true
wh_main_effect_agent_cap_increase_wizard_arb_2	agent.png	3	agent.png	campaign	true
wh_main_effect_agent_enable_recruitment_wizard_arb_1	agent.png	3	agent.png	campaign	true
wh_main_effect_agent_enable_recruitment_wizard_arb_2	agent.png	3	agent.png	campaign	true
wh2_main_diplomatic_relations_crusaders_bad	diplomacy.png	2	diplomacy.png	campaign	true
wh2_main_diplomatic_relations_araby	diplomacy.png	2	diplomacy.png	campaign	true
ovn_desert_att_immune_dummy	terrain_desert.png	2	terrain_desert.png	campaign	true
ovn_scythans_recruit_tmbking_dummy	tomb_prince.png	2	tomb_prince.png	campaign	true
ovn_grudge_horde_dummy	battle_movement.png	2	diplomacy.png	campaign	true
ovn_grudge_mercenary_dummy	cst_piece_of_eight.png	2	diplomacy.png	campaign	true
ovn_grudge_good_dummy	religion.png	2	religion.png	campaign	true
ovn_barbarian_hatred	religion_chaos.png	2	religion_chaos.png	campaign	true
ovn_trollz_bad	religion_chaos.png	2	religion_chaos.png	campaign	true
ovn_halfling_friendly	diplomacy.png	1	diplomacy.png	campaign	true
wh2_main_diplomatic_relations_averland_bad	diplomacy.png	2	diplomacy.png	campaign	true
ovn_halfling_chaos_resist	religion_chaos.png	4	religion_chaos.png	campaign	true
ovn_buff_soup_art	ranged_damage.png	4	ranged_damage.png	battle	true
ovn_hlf_effect_religion_conversion_chaos_technologies	religion_chaos.png	105	religion_chaos.png	campaign	false
ovn_effect_agent_cap_increase_champion_goblin_big_boss	goblin_big_boss.png	102	goblin_big_boss.png	campaign	true
ovn_effect_agent_enable_recruitment_champion_greenskins	goblin_big_boss.png	3	goblin_big_boss.png	campaign	true
ovn_warp_champion	vortex_skv_5.png	2	religion_chaos.png	campaign	true
ovn_cod_defender_mech_dummy_good	cod_naval_defender_vgood.png	2	cod_naval_defender_vgood.png	campaign	true
ovn_cod_defender_mech_dummy_bad	cod_naval_defender_block.png	2	cod_naval_defender_block.png	campaign	true
ovn_cod_as_noble_dummy	noble.png	2	noble.png	campaign	true
ovn_cod_ll_visit_dummy	noble.png	2	noble.png	campaign	true
ovn_buff_halfling_welf	defence.png	4	defence.png	battle	true
ovn_halfling_hlf_r7_morale	morale.png	4	morale.png	battle	true
ovn_halfling_hlf_r7_melee	melee.png	4	general_ability.png	battle	true
ovn_halfling_ogre_r7_morale	morale.png	4	morale.png	battle	true
ovn_halfling_ogre_r7_resistance_physical	resistance_physical.png	4	resistance_physical.png	battle	true
ovn_halfling_welf_r7_morale	morale.png	4	morale.png	battle	true
ovn_halfling_welf_r7_speed	battle_movement.png	4	general_ability.png	battle	true
ovn_soup_art_r7_range	ranged_damage.png	4	ranged_damage.png	battle	true
ovn_soup_art_r7_reload	ranged_damage.png	4	ranged_damage.png	battle	true
ovn_blood_dragon_ward	resistance_ward_save.png	4	resistance_ward_save.png	battle	true
ovn_cod_mech_diplo_improve	diplomacy.png	4	diplomacy.png	campaign	true
ovn_grudgebringer_ward	resistance_ward_save.png	4	resistance_ward_save.png	battle	true
elo_ogres_trait	morale.png	4	morale.png	battle	true
ovn_dilemma_alb_current_leader	spell_ability.png	4	spell_ability.png	campaign	true
ovn_dilemma_alb_alt_leader	spell_ability.png	4	spell_ability.png	campaign	true
dk_trait_name_dummy	cst_piece_of_eight.png	0	cst_piece_of_eight.png	campaign	true
ovn_no_add_army_upkeep_dummy	cst_piece_of_eight.png	1	cst_piece_of_eight.png	campaign	true
ovn_albion_waystone_geomancy	waystone_geo.png	1	waystone_geo.png	campaign	true
ovn_grudge_replenish_dummy	icon_replenish_gold.png	1	icon_replenish_gold.png	campaign	true
ovn_enable_araby_trebuchet_bonus_in_sieges	ranged_damage.png	1	ranged_damage.png	battle	true
