unit	military_group
#units_to_groupings_military_permissions_tables;0;db/units_to_groupings_military_permissions_tables/ovn_fimir	
wh_pro04_nor_mon_fimir_ror_0	ovn_fimir
ovn_fimm	ovn_fimir
ovn_fenbeast	ovn_fimir
ovn_fenhulk	ovn_fimir
ovn_death_quest	ovn_fimir
ovn_fianna_fimm	ovn_fimir
ovn_gharnus_demon	ovn_fimir
ovn_killing_eye	ovn_fimir
wh_main_chs_mon_giant	ovn_fimir
ovn_fim_cav_bog_beast_riders_0	ovn_fimir
ovn_fim_mon_caster_0	ovn_fimir
ovn_fim_mon_javelin_0	ovn_fimir
ovn_marsh_hounds	ovn_fimir
ovn_fimir_warriors	ovn_fimir
ovn_fimir_warriors_great_weapons	ovn_fimir
ovn_mon_harpies	ovn_fimir
ovn_nuckelavee	ovn_fimir
ovn_daemonomaniac	ovn_fimir
ovn_swamp_daemons	ovn_fimir
ovn_marsh_hornets_ror	ovn_fimir
ovn_swamp_daemons_summon	ovn_fimir
