land_units_to_unit_abilites_junctions_tables	0
ability	land_unit
elo_so_hungry	elo_carrion_gobbo_bow
thiz_iz_troll	elo_armoured_icetrolls
thiz_iz_troll	elo_southern_trolls
thiz_iz_troll	elo_red_avalanche
thiz_iz_troll	elo_river_trolls
thiz_iz_troll	elo_mountain_trolls
thiz_iz_troll	elo_shipwreckers
thiz_iz_troll	elo_kin
thiz_iz_troll	elo_forest_trolls
thiz_iz_troll	elo_bile_trolls
thiz_iz_troll	elo_snow_troll
elo_so_hungry	elo_carrion_squig_hoppers
elo_so_hungry	elo_carrion_gobbo_melee
thiz_iz_troll	wh_dlc01_chs_mon_trolls_1
thiz_iz_troll	wh_dlc08_nor_mon_norscan_ice_trolls_0
thiz_iz_troll	wh_main_chs_mon_trolls
thiz_iz_troll	wh_main_grn_mon_trolls
thiz_iz_troll	elo_night_trolls_ror
wh_main_unit_passive_frenzy	elo_night_trolls_ror
troll_mocking_laughter	elo_night_trolls_ror
wh_main_unit_passive_regeneration	elo_night_trolls_ror
