unit_special_abilities_tables	51
key	active_time	recharge_time	num_uses	effect_range	affect_self	num_effected_friendly_units	num_effected_enemy_units	update_targets_every_frame	initial_recharge	activated_projectile	target_friends	target_enemies	target_ground	target_intercept_range	assume_specific_behaviour	clear_current_order	wind_up_time	passive	unique_id	bombardment	spawned_unit	wind_up_stance	mana_cost	min_range	targetting_aoe	passive_aoe	active_aoe	activation_effect	vortex	miscast_chance	miscast_explosion	ai_usage	audio	special_ability_display	voiceover_state	additional_melee_cp	additional_missile_cp	parent_ability	spawn_type	spawn_proxy_vfx	target_ground_under_allies	target_ground_under_enemies	miscast_global_bonus	target_self	composite_scene_group_on_wind_up	composite_scene_group_on_active	spawn_is_transformation	wind_down_stance	use_loop_stance	spawn_is_decoy	only_affect_owned_units	ability_available_ui_event
ovn_lore_passive_blessing_of_the_elements	-1.0	-1.0	-1	-1.0	true	-1	0	true	-1.0		false	false	false	0.0		false	0.0	true	582144116				0.0	0.0	wh_abilities_generic_debuff_no_ring	wh_abilities_generic_debuff_no_ring				0.0					vo_battle_special_ability_generic_response	39.0	39.0				false	false	true	false			false		false	false	false	
ovn_spell_desert_mirage	1.0	45.0	7	0.0	false	1	0	true	0.0		true	false	true	60.0		false	1.0	false	582144117		ovn_khemri_spearmen_summoned_0	cast_up_short	3.0	0.0	wh_abilities_generic_spawn	wh_abilities_generic_spawn				0.0		threatened	wh_group_unit	nehekhara_short	vo_battle_special_ability_spell_cast_negative	80.0	0.0			wh_main_targeting_pre_aa_spawn_group_ui_central	false	false	true	true			false		false	false	false	
ovn_spell_desert_mirage_upgraded	1.0	45.0	7	0.0	false	1	0	true	0.0		true	false	true	60.0		false	1.0	false	582144118		ovn_khemri_spearmen_summoned_1	cast_up_short	4.0	0.0	wh_abilities_generic_spawn	wh_abilities_generic_spawn				0.5	wh_main_generic_miscast	threatened	wh_group_unit	nehekhara_short	vo_battle_special_ability_spell_cast_negative	80.0	0.0			wh_main_targeting_pre_aa_spawn_group_ui_central	false	false	true	true			false		false	false	false	
ovn_spell_desert_sunstrike	-1.0	30.0	-1	0.0	false	0	0	false	0.0	ovn_spell_desert_sunstrike	false	true	false	200.0		true	1.0	false	582144119			cast_forward_short	4.0	0.0	wh_spell_generic_missiles	wh_spell_generic_missiles				0.0		projectile_ap	wh_main_spell_light_shems_burning_gaze	heavens_short	vo_battle_special_ability_spell_cast_negative	0.0	85.0				false	false	true	false			false		false	false	false	
ovn_spell_desert_sunstrike_upgraded	-1.0	30.0	-1	0.0	false	0	0	false	0.0	ovn_spell_desert_sunstrike_upgraded	false	true	false	200.0		true	1.0	false	582144120			cast_forward_short	7.0	0.0	wh_spell_generic_missiles	wh_spell_generic_missiles				0.5	wh_main_generic_miscast	projectile_ap	wh_main_spell_light_shems_burning_gaze_upgraded	heavens_short	vo_battle_special_ability_spell_cast_negative	0.0	85.0				false	false	true	false			false		false	false	false	
ovn_spell_desert_sandstorm	14.0	45.0	-1	0.0	false	0	0	false	0.0		false	true	true	100.0		false	3.0	false	582144121			cast_up_medium	6.0	0.0	wh_abilities_generic_vortex	wh_abilities_generic_vortex			ovn_spell_desert_sandstorm	0.0		hex_ranged_area	wh_group_unit_click	nehekhara_medium	vo_battle_special_ability_spell_cast_negative	0.0	200.0				false	false	true	false			false		false	false	false	
ovn_spell_desert_sandstorm_upgraded	28.0	45.0	-1	0.0	false	0	0	false	0.0		false	true	true	100.0		false	3.0	false	582144122			cast_up_medium	10.0	0.0	wh_abilities_generic_vortex	wh_abilities_generic_vortex			ovn_spell_desert_sandstorm_upgraded	0.5	wh_main_generic_miscast	hex_ranged_area	wh_group_unit_click	nehekhara_medium	vo_battle_special_ability_spell_cast_negative	0.0	200.0				false	false	true	false			false		false	false	false	
ovn_spell_desert_quicksand	38.0	50.0	-1	0.0	false	0	1	true	0.0		false	true	false	100.0		false	3.0	false	582144123			cast_up_medium	13.0	0.0	wh_abilities_generic_debuff	wh_abilities_generic_debuff	wh2_dlc14_abilities_seismic_snare			0.0		hex_speed	wh_group_unit	nehekhara_medium	vo_battle_special_ability_spell_cast_negative	0.0	246.0				false	false	true	false			false		false	false	false	
ovn_spell_desert_quicksand_upgraded	38.0	50.0	-1	30.0	false	0	-1	true	0.0		false	true	true	100.0		false	3.0	false	582144124			cast_up_medium	18.0	0.0	wh_abilities_generic_debuff	wh_abilities_generic_debuff	wh2_dlc14_abilities_seismic_snare			0.5	wh_main_generic_miscast	hex_speed	wh_group_unit	nehekhara_medium	vo_battle_special_ability_spell_cast_negative	0.0	246.0				false	false	true	false			false		false	false	false	
ovn_spell_desert_burning_hands	6.0	32.0	-1	0.0	false	0	0	false	0.0		false	true	true	20.0		false	5.0	false	582144125			cast_up_long	6.0	0.0	wh_abilities_generic_breath	wh_abilities_generic_breath			ovn_spell_desert_burning_hands	0.0		vortex_breath	wh_group_unit	fire_long	vo_battle_special_ability_spell_cast_negative	81.0	164.0				false	false	true	false			false		false	false	false	
ovn_spell_desert_burning_hands_upgraded	6.0	32.0	-1	0.0	false	0	0	false	0.0		false	true	true	20.0		false	5.0	false	582144126			cast_up_long	11.0	0.0	wh_abilities_generic_breath	wh_abilities_generic_breath			ovn_spell_desert_burning_hands_upgraded	0.5	wh_main_generic_miscast	vortex_breath	wh_group_unit	fire_long	vo_battle_special_ability_spell_cast_negative	81.0	164.0				false	false	true	false			false		false	false	false	
ovn_spell_desert_curse_of_the_djinn	24.0	50.0	-1	0.0	false	0	1	false	0.0		false	true	false	100.0		false	5.0	false	582144127			cast_up_long	5.0	0.0	wh_abilities_generic_debuff_no_ring	wh_abilities_generic_debuff_no_ring				0.0		hex_melee	wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation	nehekhara_long	vo_battle_special_ability_spell_cast_negative	246.0	0.0				false	false	true	false			false		false	false	false	
ovn_spell_desert_curse_of_the_djinn_upgraded	24.0	50.0	-1	30.0	false	0	-1	true	0.0		false	true	true	100.0		false	5.0	false	582144128			cast_up_long	9.0	0.0	wh_abilities_generic_debuff	wh_abilities_generic_debuff				0.5	wh_main_generic_miscast	hex_melee_area	wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation_upgraded	nehekhara_long	vo_battle_special_ability_spell_cast_negative	246.0	0.0				false	false	true	false			false		false	false	false	
ovn_unit_passive_unbinding_arb_spearmen_mirage	60.0	-1.0	-1	0.0	true	0	0	false	-1.0		false	false	false	0.0	summon_unbinding	false	0.0	true	582144129				0.0	0.0						0.0					vo_battle_special_ability_generic_response	0.0	0.0				false	false	true	false			false		false	false	false	
ovn_unit_passive_unbinding_arb_spearmen_mirage_upgraded	90.0	-1.0	-1	0.0	true	0	0	false	-1.0		false	false	false	0.0	summon_unbinding	false	0.0	true	582144130				0.0	0.0						0.0					vo_battle_special_ability_generic_response	0.0	0.0				false	false	true	false			false		false	false	false	
