land_units_to_unit_abilites_junctions_tables	0
ability	land_unit
wh_main_character_abilities_foe_seeker	roy_arb_cha_champion
wh_main_lord_passive_hold_the_line	roy_arb_cha_champion
wh_main_character_abilities_deadly_onslaught	roy_arb_cha_champion
wh_main_character_abilities_foe_seeker	roy_arb_cha_champion_horse
wh_main_lord_passive_hold_the_line	roy_arb_cha_champion_horse
wh_main_character_abilities_deadly_onslaught	roy_arb_cha_champion_horse
wh_main_character_abilities_foe_seeker	roy_arb_cha_champion_warhorse
wh_main_lord_passive_hold_the_line	roy_arb_cha_champion_warhorse
wh_main_character_abilities_deadly_onslaught	roy_arb_cha_champion_warhorse
wh_main_character_abilities_foe_seeker	roy_arb_cha_champion_elephant
wh_main_lord_passive_hold_the_line	roy_arb_cha_champion_elephant
wh_main_character_abilities_deadly_onslaught	roy_arb_cha_champion_elephant
wh_main_hero_abilities_slippery	roy_arb_cha_nomad
roy_unit_active_arb_strike_from_the_shadows	roy_arb_cha_nomad
wh_main_hero_abilities_slippery	roy_arb_cha_nomad_horse
roy_unit_active_arb_strike_from_the_shadows	roy_arb_cha_nomad_horse
wh_main_hero_abilities_slippery	roy_arb_cha_nomad_assassin
roy_unit_active_arb_strike_from_the_shadows	roy_arb_cha_nomad_assassin
wh2_main_character_abilities_assassins_trophy	roy_arb_cha_nomad_assassin
roy_unit_active_arb_doppelgang	roy_arb_cha_nomad_assassin
wh_main_hero_abilities_slippery	roy_arb_cha_nomad_assassin_summoned
roy_unit_active_arb_strike_from_the_shadows	roy_arb_cha_nomad_assassin_summoned
