unit_set_unit_ability_junctions_tables	0
key	unit_ability	unit_set
elo_ghost_vampire_novice	wh_main_spell_vampires_invocation_of_nehek	elo_larenscheld_afterlife
elo_ghost_vampire_novice	wh_main_spell_vampires_gaze_of_nagash	elo_larenscheld_afterlife
elo_ghost_vampire_advanced	wh_main_spell_vampires_vanhels_danse_macabre	elo_larenscheld_afterlife
elo_ghost_vampire_advanced	wh_main_spell_vampires_raise_dead	elo_larenscheld_afterlife
elo_ghost_vampire_expert	wh_main_spell_vampires_curse_of_years	elo_larenscheld_afterlife
elo_ghost_vampire_expert	wh_main_spell_vampires_wind_of_death	elo_larenscheld_afterlife
elo_ghost_vampire_master	wh_main_spell_vampires_raise_dead_upgraded	elo_larenscheld_afterlife
elo_ghost_vampire_master	wh_main_spell_vampires_invocation_of_nehek_upgraded	elo_larenscheld_afterlife
elo_ghost_vampire_master	wh_main_spell_vampires_vanhels_danse_macabre_upgraded	elo_larenscheld_afterlife
elo_ghost_vampire_master	wh_main_spell_vampires_wind_of_death_upgraded	elo_larenscheld_afterlife
elo_ghost_vampire_master	wh_main_spell_vampires_gaze_of_nagash_upgraded	elo_larenscheld_afterlife
elo_ghost_vampire_novice	wh_main_lore_passive_the_curse_of_undeath	elo_larenscheld_afterlife
elo_ghost_master_of_dead	wh_main_character_passive_master_of_the_dead	elo_larenscheld_afterlife
elo_ghost_master_of_dead	wh_main_character_abilities_magical_animus	elo_larenscheld_afterlife
