land_units_additional_personalities_groups_junctions_tables	0
battle_personality	group
wh_main_arb_elephant_rider_mahout	wh_main_arb_elephant_riders
wh_main_arb_elephant_rider_mahout	wh_main_arb_war_elephant_riders
wh_main_arb_elephant_rider_0	wh_main_arb_war_elephant_riders
wh_main_arb_elephant_rider_1	wh_main_arb_war_elephant_riders
wh_main_arb_elephant_rider_2	wh_main_arb_war_elephant_riders
wh_main_arb_elephant_rider_3	wh_main_arb_war_elephant_riders
wh_main_arb_elephant_rider_4	wh_main_arb_war_elephant_riders
wh_main_arb_elephant_rider_5	wh_main_arb_war_elephant_riders
wh_main_arb_elephant_rider_mahout	wh_main_arb_royal_war_elephant_riders
wh_main_arb_elephant_rider_sheikh	wh_main_arb_royal_war_elephant_riders
wh_main_arb_elephant_rider_0	wh_main_arb_royal_war_elephant_riders
wh_main_arb_elephant_rider_1	wh_main_arb_royal_war_elephant_riders
wh_main_arb_elephant_rider_2	wh_main_arb_royal_war_elephant_riders
wh_main_arb_elephant_rider_3	wh_main_arb_royal_war_elephant_riders
wh_main_arb_elephant_rider_4	wh_main_arb_royal_war_elephant_riders
wh_main_arb_elephant_rider_5	wh_main_arb_royal_war_elephant_riders
wh_main_arb_elephant_rider_6	wh_main_arb_royal_war_elephant_riders
wh_main_arb_elephant_rider_mahout	arb_jaffar_elephant_riders
wh_main_arb_elephant_rider_jaffar	arb_jaffar_elephant_riders
wh_main_arb_elephant_rider_0	arb_jaffar_elephant_riders
wh_main_arb_elephant_rider_1	arb_jaffar_elephant_riders
wh_main_arb_elephant_rider_2	arb_jaffar_elephant_riders
wh_main_arb_elephant_rider_3	arb_jaffar_elephant_riders
wh_main_arb_elephant_rider_4	arb_jaffar_elephant_riders
wh_main_arb_elephant_rider_5	arb_jaffar_elephant_riders
wh_main_arb_elephant_rider_6	arb_jaffar_elephant_riders
