ancillary_to_included_agents_tables	0
ancillary	agent
grudge_item_horn_of_urgok	general
grudge_item_grudgebringer_sword	general
grudge_item_hellfire_sword	general
grudge_item_storm_sword	general
grudge_item_runefang	general
grudge_item_enchanted_shield	general
grudge_item_shield_of_ptolos	general
grudge_item_spelleater_shield	general
grudge_item_dragonhelm	general
grudge_item_wand_of_jet	general
grudge_item_banner_of_arcane_warding	general
grudge_item_banner_of_wrath	general
grudge_item_banner_of_defiance	general
grudge_item_horn_of_urgok	dignitary
grudge_item_grudgebringer_sword	dignitary
grudge_item_hellfire_sword	dignitary
grudge_item_storm_sword	dignitary
grudge_item_runefang	dignitary
grudge_item_enchanted_shield	dignitary
grudge_item_shield_of_ptolos	dignitary
grudge_item_spelleater_shield	dignitary
grudge_item_dragonhelm	dignitary
grudge_item_wand_of_jet	dignitary
grudge_item_banner_of_arcane_warding	dignitary
grudge_item_banner_of_wrath	dignitary
grudge_item_banner_of_defiance	dignitary
grudge_item_horn_of_urgok	champion
grudge_item_grudgebringer_sword	champion
grudge_item_hellfire_sword	champion
grudge_item_storm_sword	champion
grudge_item_runefang	champion
grudge_item_enchanted_shield	champion
grudge_item_shield_of_ptolos	champion
grudge_item_spelleater_shield	champion
grudge_item_dragonhelm	champion
grudge_item_wand_of_jet	champion
grudge_item_banner_of_arcane_warding	champion
grudge_item_banner_of_wrath	champion
grudge_item_banner_of_defiance	champion
grudge_item_horn_of_urgok	spy
grudge_item_grudgebringer_sword	spy
grudge_item_hellfire_sword	spy
grudge_item_storm_sword	spy
grudge_item_runefang	spy
grudge_item_enchanted_shield	spy
grudge_item_shield_of_ptolos	spy
grudge_item_spelleater_shield	spy
grudge_item_dragonhelm	spy
grudge_item_wand_of_jet	spy
grudge_item_banner_of_arcane_warding	spy
grudge_item_banner_of_wrath	spy
grudge_item_banner_of_defiance	spy
grudge_item_horn_of_urgok	wizard
grudge_item_grudgebringer_sword	wizard
grudge_item_hellfire_sword	wizard
grudge_item_storm_sword	wizard
grudge_item_runefang	wizard
grudge_item_enchanted_shield	wizard
grudge_item_shield_of_ptolos	wizard
grudge_item_spelleater_shield	wizard
grudge_item_dragonhelm	wizard
grudge_item_wand_of_jet	wizard
grudge_item_banner_of_arcane_warding	wizard
grudge_item_banner_of_wrath	wizard
grudge_item_banner_of_defiance	wizard
