id	building_superchain	slot_template
#slot_template_to_building_superchain_junctions_tables;0;db/slot_template_to_building_superchain_junctions_tables/!ovn_cd_garrison		
134285809	ovn_cd_Walls	wh_main_special_karaz_a_karak_secondary
264547446	ovn_cd_Walls	wh2_dlc09_special_black_tower_of_arkhan_secondary
833901227	ovn_cd_Walls	wh2_dlc09_special_ka_sabar_secondary
448776508	ovn_cd_Walls	wh2_dlc09_special_numas_secondary
947700045	ovn_cd_Walls	wh2_dlc10_special_gaean_vale_secondary
210640211	ovn_cd_Walls	wh2_dlc14_special_gnoblar_country_flayed_rock_secondary
986030575	ovn_cd_Walls	wh2_dlc14_special_the_broken_teeth_nagashizar_secondary
362716950	ovn_cd_Walls	wh2_dlc14_special_the_wolf_lands_crookback_mountain_secondary
56091324	ovn_cd_Walls	wh2_dlc14_special_vor_land_of_the_dervishes_el-kalabad_secondary
748495527	ovn_cd_Walls	wh2_main_human_major_secondary_amber
118515229	ovn_cd_Walls	wh2_main_human_major_secondary_animals
860837808	ovn_cd_Walls	wh2_main_human_major_secondary_beer
435824832	ovn_cd_Walls	wh2_main_human_major_secondary_gems
233707087	ovn_cd_Walls	wh2_main_human_major_secondary_medicine
165572453	ovn_cd_Walls	wh2_main_human_major_secondary_obsidian
521992295	ovn_cd_Walls	wh2_main_human_major_secondary_spices
338381721	ovn_cd_Walls	wh2_main_special_altar_of_the_horned_rat_secondary_ritual
629214603	ovn_cd_Walls	wh2_main_special_altar_of_ultimate_darkness_secondary_major
372727348	ovn_cd_Walls	wh2_main_special_altar_of_ultimate_darkness_secondary_major
234235572	ovn_cd_Walls	wh2_main_special_altar_of_ultimate_darkness_secondary_ritual
753529827	ovn_cd_Walls	wh2_main_special_altar_of_ultimate_darkness_secondary_ritual
449508752	ovn_cd_Walls	wh2_main_special_axlotl_secondary
580389523	ovn_cd_Walls	wh2_main_special_castle_drachenfels_secondary
68014804	ovn_cd_Walls	wh2_main_special_clar_karond_secondary
737793944	ovn_cd_Walls	wh2_main_special_clarak_spire_secondary
