building_levels_tables	16
level_name	chain	level	create_time	create_cost	upkeep_cost	commodity	only_in_capital	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	faction_unique	religion_requirement	first_in_world_bundle	resource_requirement	can_convert	building_instance_key	should_show_building_level_in_ui_for_technology	health_override	development_point_cost	can_be_damaged	primary_slot_building_building_level_requirement	audio_building_type	visible_in_ui	food_cost	slave_cap_contribution
ovn_emp_fort_ruin	ovn_emp_fort	0	1	0	0		false	0	0	0	0	false				true	wh_dlc05_wef_settlement_major	false	0.0	0	false	0	wh_cam_settlement_major_chaos	true	0	0
ovn_emp_fort_1	ovn_emp_fort	1	2	1200	0		false	0	0	0	0	false				true	wh_main_NORSCA_settlement	false	0.0	0	true	0	wh_cam_settlement_major_nordic	true	0	0
ovn_emp_fort_2	ovn_emp_fort	2	3	2000	0		false	0	0	0	0	false				true	wh_main_NORSCA_settlement	false	0.0	1	true	0	wh_cam_settlement_major_nordic	true	0	0
ovn_emp_fort_3	ovn_emp_fort	3	4	3200	0		false	0	0	0	0	false				true	wh_main_NORSCA_settlement	false	0.0	2	true	0	wh_cam_settlement_major_nordic	true	0	0
ovn_emp_fort_4	ovn_emp_fort	4	6	5000	0		false	0	0	0	0	false				true	wh_main_NORSCA_settlement	false	0.0	4	true	0	wh_cam_settlement_major_nordic	true	0	0
ovn_emp_fort_5	ovn_emp_fort	5	7	7500	0		false	0	0	0	0	false				true	wh_main_NORSCA_settlement	false	0.0	5	true	0	wh_cam_settlement_major_nordic	true	0	0
ovn_elf_gate_eagle_ruin	ovn_elf_gate_eagle	0	1	0	0		false	0	0	0	0	false				true	wh_dlc05_wef_settlement_major	false	0.0	0	false	0	wh_cam_settlement_major_chaos	true	0	0
ovn_elf_gate_eagle_1	ovn_elf_gate_eagle	1	2	800	0		false	0	0	0	0	false				true	wh_main_NORSCA_settlement	false	0.0	0	true	0	wh_cam_settlement_major_nordic	true	0	0
ovn_elf_gate_eagle_2	ovn_elf_gate_eagle	2	3	1600	0		false	0	0	0	0	false				true	wh_main_NORSCA_settlement	false	0.0	1	true	0	wh_cam_settlement_major_nordic	true	0	0
ovn_elf_gate_eagle_3	ovn_elf_gate_eagle	3	4	3200	0		false	0	0	0	0	false				true	wh_main_NORSCA_settlement	false	0.0	2	true	0	wh_cam_settlement_major_nordic	true	0	0
ovn_elf_gate_eagle_4	ovn_elf_gate_eagle	4	6	4800	0		false	0	0	0	0	false				true	wh_main_NORSCA_settlement	false	0.0	4	true	0	wh_cam_settlement_major_nordic	true	0	0
ovn_elf_gate_eagle_5	ovn_elf_gate_eagle	5	7	7200	0		false	0	0	0	0	false				true	wh_main_NORSCA_settlement	false	0.0	5	true	0	wh_cam_settlement_major_nordic	true	0	0
ovn_elf_gate_griffon_ruin	ovn_elf_gate_griffon	0	1	0	0		false	0	0	0	0	false				true	wh_dlc05_wef_settlement_major	false	0.0	0	false	0	wh_cam_settlement_major_chaos	true	0	0
ovn_elf_gate_griffon_1	ovn_elf_gate_griffon	1	2	800	0		false	0	0	0	0	false				true	wh_main_NORSCA_settlement	false	0.0	0	true	0	wh_cam_settlement_major_nordic	true	0	0
ovn_elf_gate_griffon_2	ovn_elf_gate_griffon	2	3	1600	0		false	0	0	0	0	false				true	wh_main_NORSCA_settlement	false	0.0	1	true	0	wh_cam_settlement_major_nordic	true	0	0
ovn_elf_gate_griffon_3	ovn_elf_gate_griffon	3	4	3200	0		false	0	0	0	0	false				true	wh_main_NORSCA_settlement	false	0.0	2	true	0	wh_cam_settlement_major_nordic	true	0	0
ovn_elf_gate_griffon_4	ovn_elf_gate_griffon	4	6	4800	0		false	0	0	0	0	false				true	wh_main_NORSCA_settlement	false	0.0	4	true	0	wh_cam_settlement_major_nordic	true	0	0
ovn_elf_gate_griffon_5	ovn_elf_gate_griffon	5	7	7200	0		false	0	0	0	0	false				true	wh_main_NORSCA_settlement	false	0.0	5	true	0	wh_cam_settlement_major_nordic	true	0	0
ovn_elf_gate_phoenix_ruin	ovn_elf_gate_phoenix	0	1	0	0		false	0	0	0	0	false				true	wh_dlc05_wef_settlement_major	false	0.0	0	false	0	wh_cam_settlement_major_chaos	true	0	0
ovn_elf_gate_phoenix_1	ovn_elf_gate_phoenix	1	2	800	0		false	0	0	0	0	false				true	wh_main_NORSCA_settlement	false	0.0	0	true	0	wh_cam_settlement_major_nordic	true	0	0
ovn_elf_gate_phoenix_2	ovn_elf_gate_phoenix	2	3	1600	0		false	0	0	0	0	false				true	wh_main_NORSCA_settlement	false	0.0	1	true	0	wh_cam_settlement_major_nordic	true	0	0
