building_upgrades_junction_tables	0
from	to
ovn_chorf_military_1	ovn_chorf_military_2
ovn_chorf_military_2	ovn_chorf_military_3
ovn_chorf_military_3	ovn_chorf_military_4
ovn_chorf_stables_1	ovn_chorf_stables_2
ovn_chorf_stables_2	ovn_chorf_stables_3
ovn_chorf_stables_3	ovn_chorf_stables_4
ovn_chorf_creatures_1	ovn_chorf_creatures_2
ovn_chorf_loot_1	ovn_chorf_loot_2
ovn_chorf_loot_2	ovn_chorf_loot_3
ovn_chorf_experience_1	ovn_chorf_experience_2
ovn_chorf_experience_2	ovn_chorf_experience_3
ovn_chorf_slaves_1	ovn_chorf_slaves_2
ovn_chorf_slaves_2	ovn_chorf_slaves_3
ovn_chorf_worship_1	ovn_chorf_worship_2
ovn_chorf_worship_2	ovn_chorf_worship_3
ovn_chorf_worship_3	ovn_chorf_worship_4
ovn_chorf_workshop_1	ovn_chorf_workshop_2
ovn_chorf_workshop_2	ovn_chorf_workshop_3
ovn_chorf_agent_1	ovn_chorf_agent_2
