child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset
#technology_node_links_tables;2;db/technology_node_links_tables/ace_Dawi_Zarr_Technologies						
tech_chs_dawi_branch_1_1	tech_chs_dawi_main_1	0	3	4	0.0	0.0
tech_chs_dawi_branch_1_2	tech_chs_dawi_main_1	0	3	4	0.0	0.0
tech_chs_dawi_branch_1_3	tech_chs_dawi_main_1	0	3	4	0.0	0.0
tech_chs_dawi_branch_1_4	tech_chs_dawi_main_1	0	3	4	0.0	0.0
tech_chs_dawi_branch_1_5	tech_chs_dawi_main_1	0	3	4	0.0	0.0
tech_chs_dawi_branch_2_1	tech_chs_dawi_main_2	0	3	4	0.0	0.0
tech_chs_dawi_branch_2_2	tech_chs_dawi_main_2	0	3	4	0.0	0.0
tech_chs_dawi_branch_2_3	tech_chs_dawi_main_2	0	3	4	0.0	0.0
tech_chs_dawi_branch_2_4	tech_chs_dawi_main_2	0	3	4	0.0	0.0
tech_chs_dawi_branch_2_5	tech_chs_dawi_main_2	0	3	4	0.0	0.0
tech_chs_dawi_branch_3_1	tech_chs_dawi_main_3	0	3	4	0.0	0.0
tech_chs_dawi_branch_3_2	tech_chs_dawi_main_3	0	3	4	0.0	0.0
tech_chs_dawi_branch_3_6	tech_chs_dawi_main_3	0	3	4	0.0	0.0
tech_chs_dawi_branch_3_7	tech_chs_dawi_main_3	0	3	4	0.0	0.0
tech_chs_dawi_branch_3_8	tech_chs_dawi_main_3	0	3	4	0.0	0.0
tech_chs_dawi_branch_4_8	tech_chs_dawi_main_4	0	3	4	0.0	0.0
tech_chs_dawi_branch_3_3	tech_chs_dawi_main_3	0	3	4	0.0	0.0
tech_chs_dawi_branch_3_4	tech_chs_dawi_main_3	0	3	4	0.0	0.0
tech_chs_dawi_branch_3_5	tech_chs_dawi_main_3	0	3	4	0.0	0.0
tech_chs_dawi_branch_4_1	tech_chs_dawi_main_4	0	3	4	0.0	0.0
tech_chs_dawi_branch_4_2	tech_chs_dawi_main_4	0	3	4	0.0	0.0
tech_chs_dawi_branch_4_6	tech_chs_dawi_main_4	0	3	4	0.0	0.0
tech_chs_dawi_branch_4_7	tech_chs_dawi_main_4	0	3	4	0.0	0.0
tech_chs_dawi_branch_4_3	tech_chs_dawi_main_4	0	3	4	0.0	0.0
tech_chs_dawi_branch_4_4	tech_chs_dawi_main_4	0	3	4	0.0	0.0
tech_chs_dawi_branch_4_5	tech_chs_dawi_main_4	0	3	4	0.0	0.0
tech_chs_dawi_branch_5_1	tech_chs_dawi_main_5	0	3	4	0.0	0.0
tech_chs_dawi_branch_5_2	tech_chs_dawi_main_5	0	3	4	0.0	0.0
tech_chs_dawi_branch_5_3	tech_chs_dawi_main_5	0	3	4	0.0	0.0
tech_chs_dawi_branch_5_6	tech_chs_dawi_main_5	0	3	4	0.0	0.0
tech_chs_dawi_branch_5_4	tech_chs_dawi_main_5	0	3	4	0.0	0.0
tech_chs_dawi_branch_5_5	tech_chs_dawi_main_5	0	3	4	0.0	0.0
tech_chs_dawi_branch_5_7	tech_chs_dawi_main_5	0	3	4	0.0	0.0
tech_chs_dawi_main_2	tech_chs_dawi_main_1	0	2	4	0.0	0.0
tech_chs_dawi_main_3	tech_chs_dawi_main_2	0	2	4	0.0	0.0
tech_chs_dawi_main_4	tech_chs_dawi_main_3	0	2	4	0.0	0.0
tech_chs_dawi_main_5	tech_chs_dawi_main_4	0	2	4	0.0	0.0
