faction_agent_permitted_subtypes_tables	0
agent	faction	subtype
general	wh2_main_ovn_chaos_dwarfs	wh_main_chs_cha_dwarf_lord
general	wh2_main_ovn_chaos_dwarfs	wh_main_chs_cha_dwarf_lord_shadow
colonel	wh2_main_ovn_chaos_dwarfs	wh_main_chs_cha_dwarf_lord
champion	wh2_main_ovn_chaos_dwarfs	wh_main_chs_cha_dwarf_castellan
dignitary	wh2_main_ovn_chaos_dwarfs	default
dignitary	wh2_main_ovn_chaos_dwarfs	default
engineer	wh2_main_ovn_chaos_dwarfs	default
minister	wh2_main_ovn_chaos_dwarfs	default
runesmith	wh2_main_ovn_chaos_dwarfs	default
wizard	wh2_main_ovn_chaos_dwarfs	wh_main_chs_cha_dwarf_sorcerer_death
wizard	wh2_main_ovn_chaos_dwarfs	wh_main_chs_cha_dwarf_sorcerer_fire
wizard	wh2_main_ovn_chaos_dwarfs	wh_main_chs_cha_dwarf_sorcerer_metal
general	wh2_main_ovn_chaos_dwarfs	wh_main_chs_cha_bull_lord
spy	wh2_main_ovn_chaos_dwarfs	hobgoblin_khan
general	wh2_main_ovn_chaos_dwarfs	drazhoath_the_ashen
general	wh2_main_ovn_chaos_dwarfs	rykarth_the_unbreakable
general	wh2_main_ovn_chaos_dwarfs	zhatan_the_black
general	wh2_main_ovn_chaos_dwarfs	hobgoblin_greatkhan
general	wh2_main_ovn_chaos_dwarfs	hobgoblin_greatsorcerer
