member	faction
#campaign_group_member_criteria_originating_factions_tables;0;db/campaign_group_member_criteria_originating_factions_tables/pj_chorf_post_battle	
pj_captive_option_chorfs_enslave_dwarfs	wh2_main_ovn_chaos_dwarfs
pj_captive_option_chorfs_enslave_greenskins	wh2_main_ovn_chaos_dwarfs
pj_captive_option_chorfs_enslave_dark_elves	wh2_main_ovn_chaos_dwarfs
pj_captive_option_chorfs_enslave_skaven	wh2_main_ovn_chaos_dwarfs
pj_captive_option_chorfs_enslave_chaos	wh2_main_ovn_chaos_dwarfs
pj_captive_option_chorfs_enslave_wood_elves	wh2_main_ovn_chaos_dwarfs
pj_captive_option_chorfs_enslave_empire	wh2_main_ovn_chaos_dwarfs
pj_captive_option_chorfs_enslave_high_elves	wh2_main_ovn_chaos_dwarfs
pj_captive_option_chorfs_enslave_bretonnia	wh2_main_ovn_chaos_dwarfs
pj_captive_option_chorfs_enslave_rogue	wh2_main_ovn_chaos_dwarfs
