bullet_point	unit_key
#ui_unit_bullet_point_unit_overrides_tables;0;db/ui_unit_bullet_point_unit_overrides_tables/pj_warrhak_skullcrusher	
armoured	warrhak_skullcrusher_taurus
armour_piercing	warrhak_skullcrusher_taurus
terror	warrhak_skullcrusher_taurus
armoured	warrhak_skullcrusher
armour_piercing	warrhak_skullcrusher
pj_warrhak_blunderbuss	warrhak_skullcrusher
armour_piercing	warrhak_skullcrusher_tank
armoured	warrhak_skullcrusher_tank
terror	warrhak_skullcrusher_tank
unbreakable	warrhak_skullcrusher_tank
